`,Time,x,y,z,traj_tx,traj_ty,traj_tz
73,0.73,412.4575952,-12.25015503,0.681381335,411.8498605,-12.25,0
74,0.74,412.57818,-12.25018388,0.681011207,411.970188,-12.25,0
75,0.75,412.6985036,-12.25021604,0.680625159,412.0902682,-12.25,0
76,0.76,412.8185628,-12.25025192,0.680226661,412.2100986,-12.25,0
77,0.77,412.938354,-12.25029197,0.679819077,412.3296756,-12.25,0
78,0.78,413.0578721,-12.25033671,0.679405591,412.4489938,-12.25,0
79,0.79,413.1771102,-12.25038665,0.678989112,412.5680454,-12.25,0
80,0.8,413.2960594,-12.25044217,0.678572186,412.6868201,-12.25,0
81,0.81,413.4147137,-12.25050321,0.678157236,412.8053127,-12.25,0
82,0.82,413.5330919,-12.25056937,0.677747729,412.9235501,-12.25,0
83,0.83,413.6512264,-12.25064101,0.677348738,413.0415708,-12.25,0
84,0.84,413.7691287,-12.25071855,0.676965525,413.1593855,-12.25,0
85,0.85,413.8868001,-12.25080166,0.676602821,413.2769934,-12.25,0
86,0.86,414.0042398,-12.25088942,0.676263975,413.3943919,-12.25,0
87,0.87,414.1214461,-12.25098059,0.675950884,413.511578,-12.25,0
88,0.88,414.238417,-12.25107381,0.675664523,413.6285489,-12.25,0
89,0.89,414.3551509,-12.25116764,0.675405525,413.7453021,-12.25,0
90,0.9,414.4716483,-12.25126065,0.675174722,413.8618373,-12.25,0
91,0.91,414.5879082,-12.25135155,0.674973234,413.9781514,-12.25,0
92,0.92,414.7039292,-12.25143915,0.674802158,414.0942404,-12.25,0
93,0.93,414.8197096,-12.25152247,0.674662359,414.2101002,-12.25,0
94,0.94,414.9352478,-12.25160081,0.674554516,414.3257269,-12.25,0
95,0.95,415.0505421,-12.25167372,0.674478937,414.4411168,-12.25,0
96,0.96,415.165591,-12.25174099,0.67443543,414.5562661,-12.25,0
97,0.97,415.2803928,-12.25180263,0.674423407,414.6711701,-12.25,0
98,0.98,415.3949455,-12.2518588,0.67444206,414.7858233,-12.25,0
99,0.99,415.5092481,-12.25190983,0.674490399,414.9002237,-12.25,0
100,1,415.6233,-12.2519562,0.674567263,415.0143687,-12.25,0
101,1.01,415.7370997,-12.25199845,0.674671093,415.1282542,-12.25,0
102,1.02,415.8506473,-12.25203714,0.674800247,415.2418837,-12.25,0
103,1.03,415.9639456,-12.25207293,0.67495339,415.3552724,-12.25,0
104,1.04,416.0769976,-12.25210646,0.675129401,415.4684281,-12.25,0
105,1.05,416.1898019,-12.25213811,0.675326684,415.5813472,-12.25,0
106,1.06,416.302356,-12.25216808,0.675543291,415.6940253,-12.25,0
107,1.07,416.4146589,-12.25219648,0.675777116,415.8064599,-12.25,0
108,1.08,416.5267118,-12.25222348,0.676026158,415.9186509,-12.25,0
109,1.09,416.6385168,-12.25224927,0.676288673,416.0305988,-12.25,0
110,1.1,416.750076,-12.25227395,0.676563243,416.1423032,-12.25,0
111,1.11,416.8613841,-12.25229699,0.676848399,416.253754,-12.25,0
112,1.12,416.9724765,-12.25231328,0.677146062,416.3650045,-12.25,0
113,1.13,417.0835197,-12.25231646,0.677466968,416.4762245,-12.25,0
114,1.14,417.1945465,-12.25230596,0.677819127,416.5874309,-12.25,0
115,1.15,417.3055576,-12.25228313,0.678207487,416.6986162,-12.25,0
116,1.16,417.4165517,-12.25224965,0.678629701,416.8097773,-12.25,0
117,1.17,417.5275277,-12.25220709,0.679077338,416.9209163,-12.25,0
118,1.18,417.6384852,-12.25215684,0.679539536,417.0320376,-12.25,0
119,1.19,417.7494245,-12.25210027,0.680006251,417.1431452,-12.25,0
120,1.2,417.8603459,-12.25203877,0.680469871,417.2542415,-12.25,0
121,1.21,417.9712501,-12.25197379,0.680925328,417.3653266,-12.25,0
122,1.22,418.0821374,-12.25190675,0.681369419,417.4763996,-12.25,0
123,1.23,418.1930081,-12.25183893,0.681799964,417.5874588,-12.25,0
124,1.24,418.3038678,-12.25177143,0.682215505,417.6985114,-12.25,0
