num,time,x,y,z,yaw,carv,ang,vel,acc,devDist,devAng,alHori,roll,rl,rr,fl,fr
0.0,0.0,402.9714654778404,-12.24999371891053,0.6811236500118136,5.906473565408776e-08,13.88888888888889,0.0,0.0,0.0,-0.015567517347260204,-8.854486801654875e-06,0.0002444433671580696,-0.0015896072133372787,0.0019969277457507553,-0.0015330688785254744,0.0,0.0
1.0,0.01,403.11029211534174,-12.249994483462087,0.6811207314191872,3.743869141279638e-06,13.873710031884647,-0.0021207469671198458,-0.33849899830197905,-26.726933236738386,-0.001975666842485321,-1.035054389477081e-05,-0.001119551454343802,-0.00013250403049432276,0.0017609282439646008,-0.0015364186873343547,-5.7587768574233446e-06,-5.7587768574233446e-06
2.0,0.02,403.24886722765916,-12.249996011603631,0.681099471866871,1.2188074899265576e-05,13.843222067251526,-0.005003238806642758,-0.25671875303425534,5.516316901434674,0.004725620801916545,-1.3727029657608747e-05,-0.0021674335636611627,0.0011857780990646497,0.001533899949039133,-0.001647941056361308,-1.6928388263159875e-05,-1.6928388263159875e-05
3.0,0.03,403.3871123631494,-12.249997559678338,0.6810423914855047,2.411196220799516e-05,13.808964166685938,-0.006959147849316269,-0.15518483421428722,9.024386736888678,0.0059021502509125495,-1.741540259953856e-05,-0.002546358098769668,0.0017961149155202433,0.0014147279980591212,-0.001746492870423656,-2.340386030137113e-05,-2.340386030137113e-05
4.0,0.04,403.52500977946113,-12.249998842177165,0.6809352128224376,3.8498657771398875e-05,13.774015785079051,-0.008044149693024551,-0.08065003461348544,6.295730748878356,0.004331114603837927,-2.0418162768174264e-05,-0.002675317685547067,0.0020153025956774835,0.0013796907169734765,-0.0018154988887759682,-2.5724001376814098e-05,-2.5724001376814098e-05
5.0,0.05,403.6625596945621,-12.249999886791477,0.6807735591545045,5.4624936888462844e-05,13.739566120994798,-0.008568502797684284,-0.03707626886461417,3.4226823662250365,0.0018731116722093771,-2.2709016763471547e-05,-0.002722764592010324,0.0020927285340558506,0.001397534391128778,-0.0018643279636291056,-2.55640909576904e-05,-2.55640909576904e-05
6.0,0.06,403.79977141609584,-12.250000864275977,0.6805606665194796,7.197903494591606e-05,13.706360520273094,-0.008774387871108272,-0.011064352196970268,2.170992862658949,-0.00025840668161641146,-2.473909315812234e-05,-0.0027462227909927925,0.0020819889040055105,0.0014477572906042746,-0.001907507557402158,-2.4195416235047993e-05,-2.4195416235047993e-05
7.0,0.07,403.9366602560599,-12.250001948888686,0.6803032509586536,9.015508363028207e-05,13.674884972155722,-0.008782878826840678,0.00480582121034807,1.2597136974431382,-0.001913811725395613,-2.6735028682069023e-05,-0.0027796054607752206,0.002013199630621423,0.001519662961193627,-0.0019505177974767614,-2.2261249679297405e-05,-2.2261249679297405e-05
8.0,0.08,404.07324504333576,-12.250003283361256,0.6800080692378112,0.00010884955434578484,13.6453828420313,-0.008677892480168757,0.013466611288101895,0.6241587209880245,-0.003085627744296331,-2.892955170432983e-05,-0.002813106123721847,0.0019080533333060397,0.0016053544627302472,-0.001994974070821246,-2.013960237029325e-05,-2.013960237029325e-05
9.0,0.09,404.20954585902,-12.250004962741738,0.6796804370778122,0.00012784776955812065,13.617890089500985,-0.00852089788935247,0.016452622245121,0.06702612178986761,-0.005675904811978894,-3.147711090715159e-05,-0.0028247159093155024,0.0017810335094572418,0.0016983865289375245,-0.0020431964283273898,-1.8049998149800443e-05,-1.8049998149800443e-05
