,Time,x,y,z,traj_tx,traj_ty,traj_tz,num
0,0.0,402.9714654778404,-12.24999371891053,0.6811236500118136,402.3692313284605,-12.249999999999975,0.0,0.0
1,0.01,403.11029211534174,-12.249994483462087,0.6811207314191872,402.50796294038946,-12.249999999999975,0.0,0.0
2,0.02,403.24886722765916,-12.249996011603631,0.681099471866871,402.6462836230884,-12.249999999999975,0.0,0.0
3,0.03,403.3871123631494,-12.249997559678338,0.6810423914855047,402.7841381115078,-12.249999999999975,0.0,0.0
4,0.04,403.52500977946113,-12.249998842177165,0.6809352128224376,402.92152674281124,-12.249999999999975,0.0,0.0
5,0.05,403.6625596945621,-12.249999886791477,0.6807735591545045,403.05846139104733,-12.249999999999975,0.0,0.0
6,0.06,403.79977141609584,-12.250000864275977,0.6805606665194796,403.19496017048664,-12.249999999999975,0.0,0.0
7,0.07,403.9366602560599,-12.250001948888686,0.6803032509586536,403.33104738059376,-12.249999999999975,0.0,0.0
8,0.08,404.07324504333576,-12.250003283361256,0.6800080692378112,403.46675224559317,-12.249999999999975,0.0,0.0
9,0.09,404.20954585902,-12.250004962741738,0.6796804370778122,403.6021073975958,-12.249999999999975,0.0,0.0
10,0.1,404.3455822513477,-12.250007036399616,0.6793243570773118,403.73714617820497,-12.249999999999975,0.0,0.0
11,0.11,404.48137172996246,-12.250009507009267,0.678943524731732,403.87189947260117,-12.249999999999975,0.0,0.0
12,0.12,404.6169289005825,-12.25001233055457,0.6785405368363843,404.0063952487603,-12.249999999999975,0.0,0.0
13,0.13,404.7522657619487,-12.250015428112997,0.6781171860582456,404.14065864961435,-12.249999999999975,0.0,0.0
14,0.14,404.8873923739909,-12.250018716125547,0.6776750834327169,404.27471239141187,-12.249999999999977,0.0,0.0
15,0.15,405.0223175748753,-12.250022110363043,0.6772163060636331,404.4085772800066,-12.249999999999977,0.0,0.0
16,0.16,405.1570495598855,-12.250025516697459,0.6767434172606119,404.54227279780696,-12.249999999999977,0.0,0.0
17,0.17,405.2915961624789,-12.250028837771023,0.67625946722154,404.6758174764078,-12.249999999999977,0.0,0.0
18,0.18,405.42596473413886,-12.250031974098686,0.6757679617527605,404.80922877497414,-12.249999999999977,0.0,0.0
19,0.19,405.56016191788564,-12.250034817862073,0.6752726228215381,404.94252285691437,-12.249999999999977,0.0,0.0
20,0.2,405.6941935064738,-12.250037230738133,0.6747781135394473,405.07571415109237,-12.249999999999977,0.0,0.0
21,0.21,405.82806118760647,-12.250039112981566,0.6742911461203517,405.20887541069226,-12.249999999999977,0.0,0.0
22,0.22,405.9617622699756,-12.250040386597188,0.673820422580264,405.3420680122729,-12.249999999999977,0.0,0.0
23,0.23,406.09529394339523,-12.250040961738062,0.6733735184632365,405.475281056944,-12.249999999999977,0.0,0.0
24,0.24,406.2286504901971,-12.250040763962728,0.672957097223695,405.6085009613678,-12.249999999999977,0.0,0.0
25,0.25,406.3618243676571,-12.250039768420752,0.6725779143323067,405.7417105550818,-12.249999999999977,0.0,0.0
26,0.26,406.4948074727281,-12.250037978568422,0.6722433354620636,405.87488912810693,-12.249999999999977,0.0,0.0
27,0.27,406.62759170902035,-12.250035432821477,0.6719601236497699,406.00801355565113,-12.249999999999977,0.0,0.0
28,0.28,406.76016928625864,-12.250032214733,0.671733794524739,406.14105978378745,-12.249999999999977,0.0,0.0
29,0.29,406.89253294776137,-12.250028420519856,0.6715696868286047,406.2740044674281,-12.249999999999977,0.0,0.0
30,0.3,407.0246756719877,-12.250024134040391,0.6714715434881737,406.40682427048273,-12.249999999999977,0.0,0.0
31,0.31,407.15659051048146,-12.250019462926069,0.6714407076558315,406.5394958158033,-12.249999999999977,0.0,0.0
32,0.32,407.2882708038395,-12.250014534292815,0.6714758225477191,406.67199745032076,-12.249999999999977,0.0,0.0
33,0.33,407.41971062589766,-12.250009506769054,0.6715742106823732,406.80430885710075,-12.249999999999977,0.0,0.0
34,0.34,407.5509050277116,-12.250004531458158,0.6717333869067424,406.9364109467223,-12.249999999999977,0.0,0.0
35,0.35000000000000003,407.6818498175474,-12.24999973502151,0.671951040746173,407.0682858623902,-12.249999999999977,0.0,0.0
36,0.36,407.8125410881025,-12.249995212590207,0.6722243367171796,407.1999165656888,-12.249999999999977,0.0,0.0
37,0.37,407.942974837967,-12.249991028778956,0.6725497980027109,407.3312864848916,-12.249999999999977,0.0,0.0
38,0.38,408.0731468420769,-12.249987214803408,0.6729234662127134,407.46237938492766,-12.249999999999977,0.0,0.0
39,0.39,408.2030527605665,-12.249983769580309,0.6733411445810515,407.5931796398776,-12.249999999999977,0.0,0.0
40,0.4,408.33268841594605,-12.249980662756847,0.6737986178462683,407.72367255681615,-12.249999999999977,0.0,0.0
41,0.41000000000000003,408.4620500929186,-12.249977841739797,0.6742918698660477,407.85384490015576,-12.249999999999977,0.0,0.0
42,0.42,408.5911347624476,-12.249975238463259,0.6748160792316257,407.9836861246515,-12.249999999999977,0.0,0.0
43,0.43,408.7199403550935,-12.249972762526841,0.6753660235599896,408.1131882436449,-12.249999999999977,0.0,0.0
44,0.44,408.84846586308413,-12.24997033035044,0.6759366403046508,408.24234567457984,-12.249999999999977,0.0,0.0
45,0.45,408.9767111795152,-12.249967881608866,0.6765225768423264,408.37115524469186,-12.249999999999977,0.0,0.0
46,0.46,409.1046768643235,-12.249965389164014,0.6771177715876657,408.4996161052238,-12.249999999999977,0.0,0.0
47,0.47000000000000003,409.2323639963169,-12.249962845886373,0.6777157603727296,408.62772929170535,-12.249999999999977,0.0,0.0
48,0.48,409.3597740669231,-12.249960290952464,0.6783099595487586,408.7554973236936,-12.249999999999977,0.0,0.0
49,0.49,409.48690886762995,-12.249957791749603,0.6788939068839156,408.88292375531194,-12.249999999999977,0.0,0.0
50,0.5,409.61377039118383,-12.249955424808755,0.679461489218057,409.01001293973377,-12.249999999999977,0.0,0.0
51,0.51,409.7403607313678,-12.249953272620179,0.6800070125130832,409.1367698199765,-12.249999999999977,0.0,0.0
52,0.52,409.8666819902582,-12.249951418296678,0.6805250723638504,409.2631996263332,-12.249999999999977,0.0,0.0
53,0.53,409.9927362272259,-12.249949948712652,0.6810105833715717,409.3893076891957,-12.249999999999977,0.0,0.0
54,0.54,410.1185254537141,-12.249948947505693,0.681459155350641,409.5150994811902,-12.249999999999977,0.0,0.0
55,0.55,410.2440516076677,-12.249948490230866,0.6818670497835065,409.64058053473514,-12.249999999999977,0.0,0.0
56,0.56,410.369316534759,-12.249948643173342,0.6822311155195004,409.76575632813217,-12.249999999999977,0.0,0.0
57,0.5700000000000001,410.49432198636583,-12.249949464177345,0.6825487437375087,409.89063224773747,-12.249999999999977,0.0,0.0
58,0.58,410.6190696147193,-12.249951005286304,0.6828178417977403,410.015213561828,-12.249999999999977,0.0,0.0
59,0.59,410.74356095806485,-12.249953316462205,0.6830367963522579,410.1395054323326,-12.249999999999977,0.0,0.0
60,0.6,410.8677974625728,-12.24995645643029,0.6832045233591372,410.26351301432965,-12.249999999999977,0.0,0.0
61,0.61,410.9917805415107,-12.249960457706779,0.6833210509289045,410.3872417374479,-12.249999999999977,0.0,0.0
62,0.62,411.11551152163645,-12.249965345365213,0.6833868580793901,410.5106969313548,-12.249999999999977,0.0,0.0
63,0.63,411.2389916220358,-12.249971153567108,0.6834025808476456,410.6338838119258,-12.249999999999977,0.0,0.0
64,0.64,411.3622219754393,-12.249977926980227,0.683369352318635,410.7568074967239,-12.249999999999977,0.0,0.0
65,0.65,411.48520361668136,-12.249985714738566,0.6832888992567814,410.87947293617185,-12.249999999999977,0.0,0.0
66,0.66,411.6079374402575,-12.249994569228008,0.6831634178060141,411.00188484621526,-12.249999999999977,0.0,0.0
67,0.67,411.7304241609116,-12.2500045471691,0.6829954704291723,411.1240475904816,-12.249999999999977,0.0,0.0
68,0.68,411.8526642905742,-12.250015712302798,0.682787909384049,411.24596508275624,-12.249999999999977,0.0,0.0
69,0.6900000000000001,411.97465812663677,-12.250028138012425,0.6825438164318465,411.3676407128296,-12.249999999999977,0.0,0.0
70,0.7000000000000001,412.0964057468741,-12.250041911033845,0.6822664399233886,411.48907730468966,-12.249999999999977,0.0,0.0
71,0.71,412.2179070081547,-12.250057135433762,0.6819591623353578,411.6102771010927,-12.249999999999977,0.0,0.0
72,0.72,412.33916154475514,-12.250073936199305,0.6816254777321886,411.7312417636422,-12.249999999999977,0.0,0.0
73,0.73,412.46016877105507,-12.250092461043913,0.6812689685337858,411.8519723875464,-12.249999999999977,0.0,0.0
74,0.74,412.5809278827068,-12.250112883998632,0.6808932908142299,411.97246952734497,-12.249999999999977,0.0,0.0
75,0.75,412.70143785073174,-12.250135405643103,0.6805021344292463,412.0927332064099,-12.249999999999977,0.0,0.0
76,0.76,412.82169740298974,-12.250160261260994,0.6800991759603199,412.2127628991874,-12.249999999999977,0.0,0.0
77,0.77,412.94170499258877,-12.250187725435465,0.6796880544288915,412.3325574994042,-12.249999999999977,0.0,0.0
78,0.78,413.0614587772537,-12.250218114238159,0.6792723377573249,412.45211531476855,-12.249999999999977,0.0,0.0
79,0.79,413.18095658512885,-12.250251788744004,0.6788555028253316,412.57143406166756,-12.249999999999977,0.0,0.0
80,0.8,413.3001958449398,-12.250289155420946,0.6784409062896771,412.6905108112753,-12.249999999999977,0.0,0.0
81,0.81,413.41917345727575,-12.250330670518583,0.6780317153820667,412.8093418385712,-12.249999999999977,0.0,0.0
82,0.8200000000000001,413.53788559304024,-12.250376840517182,0.6776308605073869,412.927922406196,-12.249999999999977,0.0,0.0
83,0.8300000000000001,413.6563273743465,-12.250428215559698,0.6772409908877696,413.0462463752026,-12.249999999999977,0.0,0.0
84,0.84,413.77449258953277,-12.25048537701685,0.6768644945153122,413.16430561702737,-12.249999999999977,0.0,0.0
85,0.85,413.89237324020536,-12.250548840722429,0.6765031719307397,413.28209013930166,-12.249999999999977,0.0,0.0
86,0.86,414.00996029135104,-12.250618790297342,0.6761583070008989,413.39958942076373,-12.249999999999977,0.0,0.0
87,0.87,414.1272566973537,-12.250694653367235,0.6758312971797102,413.5168103124049,-12.249999999999977,0.0,0.0
88,0.88,414.24429436535786,-12.25077591605124,0.6755252685648069,413.63379351338017,-12.249999999999977,0.0,0.0
89,0.89,414.3610963850931,-12.250862861046684,0.6752441134140388,413.7505638902385,-12.249999999999977,0.0,0.0
90,0.9,414.47766768706805,-12.250955338091371,0.6749914879512136,413.86712424305927,-12.249999999999977,0.0,0.0
91,0.91,414.5940085083028,-12.251052522600206,0.6747699925147963,413.98347261904155,-12.249999999999977,0.0,0.0
92,0.92,414.7101178738664,-12.251153203635013,0.6745806674861529,414.09960655511077,-12.249999999999977,0.0,0.0
93,0.93,414.8259943282033,-12.251255971782284,0.6744233343173641,414.2155235243466,-12.249999999999977,0.0,0.0
94,0.9400000000000001,414.9416362764713,-12.251359329625723,0.67429723251805,414.33122082417935,-12.249999999999977,0.0,0.0
95,0.9500000000000001,415.05704218521646,-12.251461772802822,0.6742015343978344,414.4466954847753,-12.249999999999977,0.0,0.0
96,0.96,415.172210675774,-12.251561891380515,0.6741357284904458,414.5619443713871,-12.249999999999977,0.0,0.0
97,0.97,415.28714051964056,-12.25165844962506,0.6740996454008399,414.67696427134126,-12.249999999999977,0.0,0.0
98,0.98,415.40183057754797,-12.251750389496639,0.6740930365904589,414.7917519090273,-12.249999999999977,0.0,0.0
99,0.99,415.51627977841343,-12.251836861315175,0.6741155673320615,414.90630414707243,-12.249999999999977,0.0,0.0
100,1.0,415.6304871024953,-12.251917281458402,0.6741666301808583,415.02061803706613,-12.249999999999977,0.0,0.0
101,1.01,415.7444515949981,-12.25199133934269,0.6742452985949852,415.1346908897224,-12.249999999999977,0.0,0.0
102,1.02,415.8581723974582,-12.252058966053765,0.6743503675784831,415.24852032671674,-12.249999999999977,0.0,0.0
103,1.03,415.97164877235895,-12.25212028815343,0.674480396866604,415.3621042885902,-12.249999999999977,0.0,0.0
104,1.04,416.08488011084046,-12.252175574318132,0.6746337211709117,415.47544100754374,-12.249999999999977,0.0,0.0
105,1.05,416.1978659350143,-12.25222518804404,0.6748084750218858,415.58852898598377,-12.249999999999977,0.0,0.0
106,1.06,416.3106058954533,-12.252269551972432,0.6750026337633499,415.70136698470424,-12.249999999999977,0.0,0.0
