,traj_tx,traj_ty,traj_tz
1835,829.3208561,-140.4266378,-2.133599351
1836,829.2601909,-140.582659,-2.136547748
1837,829.1992169,-140.7385637,-2.139497523
1838,829.1379344,-140.8943512,-2.142448678
1839,829.0763434,-141.050021,-2.14540121
1840,829.0144444,-141.2055725,-2.148355121
1841,828.9522376,-141.3610052,-2.151310408
1842,828.8897232,-141.5163184,-2.154267071
1843,828.8269015,-141.6715117,-2.157225111
1844,828.7637727,-141.8265844,-2.160184527
1845,828.7003371,-141.9815359,-2.163145317
1846,828.6365949,-142.1363657,-2.166107481
1847,828.5725464,-142.2910731,-2.169071019
1848,828.5081919,-142.4456576,-2.172035931
1849,828.4435316,-142.6001186,-2.175002214
1850,828.3785657,-142.7544555,-2.177969869
1851,828.3132946,-142.9086677,-2.180938895
1852,828.2477185,-143.0627546,-2.18390929
1853,828.1818376,-143.2167156,-2.186881055
1854,828.1156523,-143.3705501,-2.189854187
1855,828.0491627,-143.5242576,-2.192828686
1856,827.9823691,-143.6778373,-2.195804552
1857,827.9152719,-143.8312886,-2.198781782
1858,827.8478712,-143.9846111,-2.201760375
1859,827.7801674,-144.1378039,-2.204740331
1860,827.7121608,-144.2908666,-2.207721648
1861,827.6438515,-144.4437985,-2.210704323
1862,827.5752399,-144.5965989,-2.213688357
1863,827.5063262,-144.7492672,-2.216673747
1864,827.4371108,-144.9018028,-2.219660491
1865,827.3675939,-145.0542049,-2.222648587
1866,827.2977759,-145.206473,-2.225638033
1867,827.2276569,-145.3586064,-2.228628827
1868,827.1572374,-145.5106043,-2.231620966
1869,827.0865176,-145.6624662,-2.234614449
1870,827.0154978,-145.8141913,-2.237609272
1871,826.9441784,-145.965779,-2.240605435
1872,826.8725595,-146.1172286,-2.243602933
1873,826.8006415,-146.2685394,-2.246601766
1874,826.7284248,-146.4197108,-2.249601929
1875,826.6559096,-146.570742,-2.25260342
1876,826.5830963,-146.7216323,-2.255606236
1877,826.5099853,-146.8723809,-2.258610372
1878,826.4365767,-147.0229871,-2.261615825
1879,826.3628711,-147.1734503,-2.264622591
1880,826.2888688,-147.3237695,-2.267630666
1881,826.21457,-147.473944,-2.270640045
1882,826.1399752,-147.6239732,-2.273650725
1883,826.0650847,-147.7738561,-2.2766627
1884,825.9898989,-147.923592,-2.279675966
1885,825.9144183,-148.0731802,-2.282690518
1886,825.8386431,-148.2226196,-2.285706349
1887,825.7625738,-148.3719097,-2.288723455
1888,825.6862107,-148.5210495,-2.29174183
1889,825.6095544,-148.6700381,-2.294761467
1890,825.5326051,-148.8188748,-2.29778236
1891,825.4553634,-148.9675586,-2.300804504
1892,825.3778297,-149.1160888,-2.303827891
1893,825.3000043,-149.2644643,-2.306852513
1894,825.2218879,-149.4126843,-2.309878365
1895,825.1434807,-149.5607479,-2.312905437
1896,825.0647834,-149.7086542,-2.315933724
1897,824.9857963,-149.8564023,-2.318963216
1898,824.9065199,-150.0039913,-2.321993906
1899,824.8269548,-150.1514202,-2.325025787
1900,824.7471013,-150.2986881,-2.328058849
1901,824.6669601,-150.445794,-2.331093085
1902,824.5865316,-150.5927371,-2.334128485
1903,824.5058164,-150.7395163,-2.337165041
1904,824.4248149,-150.8861306,-2.340202742
1905,824.3463195,-151.0275606,-2.343137369
1906,824.269131,-151.1660202,-2.346014512
1907,824.1916788,-151.304345,-2.348892977
1908,824.1139629,-151.4425349,-2.351772775
1909,824.0359831,-151.5805901,-2.354653917
1910,823.9577394,-151.7185103,-2.35753641
1911,823.879232,-151.856295,-2.360420254
1912,823.800461,-151.9939435,-2.363305447
1913,823.7214269,-152.1314552,-2.366191981
1914,823.6414372,-152.2700355,-2.369079852
1915,823.5574157,-152.415385,-2.371969054
1916,823.4733873,-152.5607463,-2.37485958
1917,823.3893521,-152.706119,-2.377751426
1918,823.3053103,-152.8515032,-2.380644587
1919,823.2212619,-152.9968985,-2.383539059
1920,823.1372071,-153.1423049,-2.386434838
1921,823.0531459,-153.2877221,-2.389331919
1922,822.9690785,-153.43315,-2.392230298
1923,822.8850049,-153.5785884,-2.395129969
1924,822.8009257,-153.7240364,-2.398030913
1925,822.7168417,-153.8694926,-2.400933102
1926,822.6327536,-154.0149556,-2.403836507
1927,822.5486621,-154.1604243,-2.406741106
1928,822.4645676,-154.3058982,-2.409646885
1929,822.3804702,-154.451377,-2.412553837
1930,822.2963699,-154.5968606,-2.415461962
1931,822.2122666,-154.7423493,-2.41837126
1932,822.1281603,-154.8878429,-2.421281731
1933,822.044051,-155.0333416,-2.424193374
1934,821.9599387,-155.1788455,-2.427106191
1935,821.8758232,-155.3243546,-2.430020181
1936,821.7917046,-155.469869,-2.432935345
1937,821.7075828,-155.6153888,-2.435851683
1938,821.6234577,-155.7609142,-2.438769198
1939,821.5393292,-155.9064453,-2.441687891
1940,821.4551973,-156.0519822,-2.444607762
1941,821.3710618,-156.197525,-2.447528813
1942,821.2869229,-156.3430738,-2.450451045
1943,821.2027803,-156.4886287,-2.453374458
1944,821.118634,-156.6341898,-2.456299053
1945,821.0344841,-156.7797572,-2.45922483
1946,820.9503304,-156.9253309,-2.46215179
1947,820.8661729,-157.070911,-2.465079932
1948,820.7820115,-157.2164977,-2.468009258
1949,820.6978464,-157.3620908,-2.470939765
1950,820.6136773,-157.5076904,-2.473871455
1951,820.5295044,-157.6532966,-2.476804324
1952,820.4453277,-157.7989094,-2.479738373
1953,820.3611471,-157.9445287,-2.4826736
1954,820.2769626,-158.0901545,-2.485610004
1955,820.1927743,-158.2357868,-2.488547584
1956,820.1085821,-158.3814257,-2.491486338
1957,820.0243861,-158.5270711,-2.494426264
1958,819.9401862,-158.6727229,-2.497367361
1959,819.8559826,-158.8183812,-2.500309628
1960,819.7717751,-158.964046,-2.503253063
1961,819.6875638,-159.1097171,-2.506197663
1962,819.6033488,-159.2553947,-2.509143428
1963,819.51913,-159.4010786,-2.512090355
1964,819.4349075,-159.5467689,-2.515038443
1965,819.3506812,-159.6924655,-2.517987691
1966,819.2664512,-159.8381684,-2.520938097
1967,819.1822175,-159.9838776,-2.52388966
1968,819.09798,-160.1295931,-2.526842378
1969,819.0137388,-160.2753149,-2.529796251
1970,818.9294939,-160.4210431,-2.532751277
1971,818.8452453,-160.5667775,-2.535707455
1972,818.7609929,-160.7125183,-2.538664784
1973,818.6767368,-160.8582654,-2.541623262
1974,818.5924769,-161.0040188,-2.544582889
1975,818.5082134,-161.1497785,-2.547543663
1976,818.4239461,-161.2955446,-2.550505583
1977,818.3396751,-161.4413169,-2.553468647
1978,818.2554003,-161.5870956,-2.556432856
1979,818.1711218,-161.7328806,-2.559398207
1980,818.0868396,-161.8786719,-2.562364699
1981,818.0025536,-162.0244695,-2.565332332
1982,817.9182639,-162.1702735,-2.568301104
1983,817.8339705,-162.3160838,-2.571271014
1984,817.7496733,-162.4619005,-2.574242062
1985,817.6653723,-162.6077235,-2.577214245
1986,817.5810676,-162.7535528,-2.580187562
1987,817.4967592,-162.8993885,-2.583162014
1988,817.412447,-163.0452306,-2.586137597
1989,817.3281311,-163.191079,-2.589114311
1990,817.2438114,-163.3369337,-2.592092154
1991,817.159488,-163.4827947,-2.595071125
1992,817.0751609,-163.6286619,-2.598051222
1993,816.9908301,-163.7745355,-2.601032444
1994,816.9064956,-163.9204153,-2.604014789
1995,816.8221575,-164.0663013,-2.606998255
1996,816.7378156,-164.2121936,-2.60998284
1997,816.6534702,-164.358092,-2.612968544
1998,816.5691211,-164.5039965,-2.615955362
1999,816.4847684,-164.6499071,-2.618943295
2000,816.4004121,-164.7958238,-2.621932339
2001,816.3160523,-164.9417464,-2.624922493
2002,816.231689,-165.087675,-2.627913754
2003,816.1473222,-165.2336096,-2.63090612
2004,816.0629519,-165.37955,-2.633899588
2005,815.9785782,-165.5254962,-2.636894158
2006,815.894201,-165.6714481,-2.639889825
2007,815.8098205,-165.8174058,-2.642886589
2008,815.7254367,-165.9633691,-2.645884446
2009,815.6410495,-166.1093379,-2.648883394
2010,815.5566591,-166.2553123,-2.651883431
2011,815.4722655,-166.4012922,-2.654884554
2012,815.3878686,-166.5472775,-2.657886762
2013,815.3034685,-166.6932682,-2.66089005
2014,815.2190653,-166.8392642,-2.663894418
2015,815.134659,-166.9852654,-2.666899863
2016,815.0502496,-167.1312718,-2.669906383
2017,814.9658372,-167.2772834,-2.672913974
2018,814.8814218,-167.4233,-2.675922635
2019,814.7970033,-167.5693217,-2.678932364
2020,814.7125819,-167.7153484,-2.681943157
2021,814.6281576,-167.86138,-2.684955014
2022,814.5437304,-168.0074165,-2.687967931
2023,814.4593003,-168.1534578,-2.690981906
2024,814.3748673,-168.2995039,-2.693996938
2025,814.2904316,-168.4455548,-2.697013023
2026,814.205993,-168.5916103,-2.70003016
2027,814.1215517,-168.7376705,-2.703048346
2028,814.0371077,-168.8837352,-2.706067579
2029,813.952661,-169.0298045,-2.709087857
2030,813.8682115,-169.1758783,-2.712109178
2031,813.7837595,-169.3219566,-2.715131538
2032,813.6993048,-169.4680392,-2.718154937
2033,813.6148476,-169.6141262,-2.721179371
2034,813.5303878,-169.7602174,-2.724204838
2035,813.4459254,-169.9063129,-2.727231336
2036,813.3614606,-170.0524126,-2.730258862
2037,813.2769933,-170.1985164,-2.733287415
2038,813.1925236,-170.3446243,-2.736316992
2039,813.1080515,-170.4907362,-2.73934759
2040,813.023577,-170.6368521,-2.742379206
2041,812.9391002,-170.7829719,-2.745411839
2042,812.8546212,-170.9290954,-2.748445484
2043,812.7701398,-171.0752227,-2.751480141
2044,812.6856563,-171.2213537,-2.754515805
2045,812.6011707,-171.3674883,-2.757552473
2046,812.5166829,-171.5136263,-2.760590144
2047,812.4321931,-171.6597679,-2.763628814
2048,812.3477012,-171.8059128,-2.76666848
2049,812.2632074,-171.9520609,-2.76970914
2050,812.1787116,-172.0982123,-2.77275079
2051,812.094214,-172.2443668,-2.775793426
2052,812.0097146,-172.3905242,-2.778837046
2053,811.9252134,-172.5366846,-2.781881646
2054,811.8407106,-172.6828477,-2.784927221
2055,811.7562062,-172.8290134,-2.787973769
2056,811.6717002,-172.9751817,-2.791021285
2057,811.5871928,-173.1213524,-2.794069766
2058,811.5026839,-173.2675254,-2.797119208
2059,811.4181738,-173.4137005,-2.800169608
2060,811.3336624,-173.5598777,-2.80322096
2061,811.2491498,-173.7060568,-2.806273261
2062,811.1646361,-173.8522376,-2.809326506
2063,811.0801215,-173.99842,-2.81238069
2064,810.995606,-174.1446038,-2.81543581
2065,810.9110897,-174.2907888,-2.818491859
2066,810.8265726,-174.436975,-2.821548834
2067,810.742055,-174.5831621,-2.82460673
2068,810.6575368,-174.7293499,-2.827665542
2069,810.5730182,-174.8755383,-2.830725264
2070,810.4884994,-175.0217271,-2.833785891
2071,810.4039804,-175.1679161,-2.836847418
2072,810.3194613,-175.3141051,-2.839909839
2073,810.2349422,-175.4602939,-2.84297315
2074,810.1504232,-175.6064823,-2.846037346
2075,810.0659046,-175.7526702,-2.849102419
2076,809.9813863,-175.8988573,-2.852168366
2077,809.8968685,-176.0450433,-2.855235179
2078,809.8123514,-176.1912281,-2.858302851
2079,809.727835,-176.3374114,-2.861371377
2080,809.6433197,-176.4835929,-2.864440749
2081,809.5588055,-176.6297724,-2.867510961
2082,809.4742925,-176.7759495,-2.870582004
2083,809.387012,-176.9269134,-2.873754536
2084,809.2974526,-177.0818186,-2.87701087
2085,809.2078831,-177.2367413,-2.880268556
2086,809.1183043,-177.39168,-2.883527561
2087,809.0287171,-177.5466331,-2.88678785
2088,808.9391222,-177.7015992,-2.890049396
2089,808.8495203,-177.8565774,-2.893312173
2090,808.7599119,-178.0115667,-2.896576163
2091,808.6702973,-178.1665667,-2.899841352
2092,808.5838486,-178.315939,-2.903107731
2093,808.4988391,-178.4621846,-2.906375288
2094,808.4135324,-178.6082703,-2.909644013
2095,808.3279291,-178.754195,-2.912913893
2096,808.2420299,-178.8999576,-2.916184916
2097,808.1558353,-179.0455571,-2.919457068
2098,808.069346,-179.1909922,-2.922730339
2099,807.9825627,-179.336262,-2.926004716
2100,807.8954858,-179.4813654,-2.929280191
2101,807.8081161,-179.6263017,-2.932556754
2102,807.7204535,-179.7710706,-2.935834414
2103,807.6324978,-179.9156724,-2.939113191
2104,807.5442488,-180.0601075,-2.942393107
2105,807.4557065,-180.204376,-2.945674174
2106,807.366871,-180.3484775,-2.948956397
2107,807.2777429,-180.4924111,-2.952239768
2108,807.1883227,-180.6361758,-2.955524276
2109,807.0986112,-180.7797704,-2.958809908
2110,807.0086089,-180.9231939,-2.962096652
2111,806.9183167,-181.066445,-2.965384494
2112,806.827735,-181.2095229,-2.968673424
2113,806.7368646,-181.3524264,-2.97196343
2114,806.645706,-181.4951545,-2.9752545
2115,806.55426,-181.6377062,-2.978546622
2116,806.4625272,-181.7800803,-2.981839785
2117,806.3705082,-181.9222759,-2.985133977
2118,806.2782039,-182.0642919,-2.988429185
2119,806.1856147,-182.2061273,-2.991725398
2120,806.0927414,-182.3477809,-2.995022605
2121,805.9995846,-182.489252,-2.998320796
2122,805.9061449,-182.6305394,-3.001619959
2123,805.8124231,-182.7716423,-3.004920086
2124,805.7184196,-182.9125596,-3.008221166
2125,805.6241351,-183.0532906,-3.011523191
2126,805.5295703,-183.1938343,-3.014826152
2127,805.4347257,-183.3341899,-3.018130041
2128,805.3396018,-183.4743564,-3.021434849
2129,805.2441994,-183.614333,-3.024740568
2130,805.1485189,-183.7541189,-3.028047192
2131,805.0525609,-183.8937133,-3.031354712
2132,804.9563261,-184.0331154,-3.034663122
2133,804.8598149,-184.1723243,-3.037972415
2134,804.763028,-184.3113393,-3.041282585
2135,804.6659657,-184.4501596,-3.044593626
2136,804.5686288,-184.5887846,-3.047905533
2137,804.4710177,-184.7272133,-3.051218299
2138,804.3731329,-184.8654452,-3.054531919
2139,804.2749751,-185.0034795,-3.057846389
2140,804.1765446,-185.1413154,-3.061161703
2141,804.077842,-185.2789524,-3.064477855
2142,803.9788679,-185.4163895,-3.067794843
2143,803.8796227,-185.5536263,-3.07111266
2144,803.7801069,-185.6906619,-3.074431302
2145,803.6803211,-185.8274957,-3.077750765
2146,803.5802658,-185.964127,-3.081071043
2147,803.4799416,-186.100555,-3.084392133
2148,803.3793488,-186.2367792,-3.08771403
2149,803.2784881,-186.3727988,-3.091036728
2150,803.1773599,-186.5086131,-3.094360222
2151,803.0759649,-186.6442214,-3.097684509
2152,802.9743035,-186.779623,-3.101009583
2153,802.8723762,-186.9148173,-3.104335439
2154,802.7701836,-187.0498035,-3.107662074
2155,802.6677262,-187.184581,-3.110989482
2156,802.5650045,-187.3191491,-3.114317659
2157,802.462019,-187.4535071,-3.117646601
2158,802.3587703,-187.5876544,-3.120976303
2159,802.2552589,-187.7215903,-3.12430676
2160,802.1514853,-187.8553141,-3.127637969
2161,802.0474499,-187.9888252,-3.130969925
2162,801.9431534,-188.1221229,-3.134302625
2163,801.8385962,-188.2552065,-3.137636064
2164,801.7337788,-188.3880756,-3.140970238
2165,801.6287019,-188.5207291,-3.144305141
2166,801.5233676,-188.6531647,-3.147640718
2167,801.4177766,-188.7853811,-3.150976956
2168,801.3119295,-188.9173778,-3.154313849
2169,801.2058269,-189.0491541,-3.157651395
2170,801.0994692,-189.1807096,-3.160989592
2171,800.9928568,-189.3120435,-3.164328435
2172,800.8859904,-189.4431555,-3.167667924
2173,800.7788704,-189.5740447,-3.171008055
2174,800.6714969,-189.7047111,-3.174348826
2175,800.563869,-189.835156,-3.177690236
2176,800.455987,-189.9653792,-3.181032281
2177,800.3478514,-190.0953802,-3.184374961
2178,800.2394627,-190.2251585,-3.187718273
2179,800.1308214,-190.3547138,-3.191062216
2180,800.0219281,-190.4840454,-3.194406788
2181,799.9127833,-190.6131531,-3.197751989
2182,799.8033876,-190.7420362,-3.201097816
2183,799.6937413,-190.8706943,-3.204444268
2184,799.5838451,-190.9991271,-3.207791345
2185,799.4736995,-191.1273341,-3.211139045
2186,799.3633049,-191.2553147,-3.214487368
2187,799.2526619,-191.3830687,-3.217836313
2188,799.1417709,-191.5105955,-3.22118588
2189,799.0306324,-191.6378948,-3.224536067
2190,798.919247,-191.7649661,-3.227886875
2191,798.8076151,-191.8918089,-3.231238303
2192,798.6957372,-192.018423,-3.23459035
2193,798.5836138,-192.1448078,-3.237943017
2194,798.4712454,-192.2709629,-3.241296303
2195,798.3586324,-192.3968879,-3.244650208
2196,798.2457754,-192.5225825,-3.248004733
2197,798.1326747,-192.6480462,-3.251359876
2198,798.0193309,-192.7732785,-3.254715638
2199,797.9057445,-192.8982792,-3.258072019
2200,797.7919158,-193.0230477,-3.261429019
2201,797.6778455,-193.1475836,-3.264786637
2202,797.563534,-193.2718866,-3.268144873
2203,797.4489817,-193.3959562,-3.271503728
2204,797.3341891,-193.519792,-3.2748632
2205,797.2191568,-193.6433936,-3.278223291
2206,797.1038851,-193.7667605,-3.281583998
2207,796.9883746,-193.8898924,-3.284945322
2208,796.8726258,-194.0127888,-3.288307263
2209,796.7566391,-194.1354492,-3.291669819
2210,796.6404151,-194.2578733,-3.295032991
2211,796.5239542,-194.3800605,-3.298396777
2212,796.4072569,-194.5020106,-3.301761177
2213,796.2903237,-194.6237229,-3.30512619
2214,796.1731552,-194.7451972,-3.308491815
2215,796.0557517,-194.8664329,-3.311858052
