num,time,x,y,z,yaw,carv,ang,vel,acc,devDist,devAng,alHori,roll,rl,rr,fl,fr
0.0,0.0,402.9714654778404,-12.24999371891053,0.6811236500118136,5.906473565408776e-08,13.88888888888889,0.0,0.0,0.0,-0.015567517347260204,-8.854486801654875e-06,0.0002444433671580696,-0.0015896072133372787,0.0019969277457507553,-0.0015330688785254744,0.0,0.0
1.0,0.01,403.11034100659697,-12.249994583564702,0.6811248371662282,3.861636367413765e-06,13.886643462242205,-0.002167342264228179,-0.3516993427061414,-30.045425036173246,-0.01579388503643275,-1.0165299157978158e-05,0.00033744693585015,-0.001682043306652328,0.0017722300469821348,-0.0015588195534498846,-5.953266164972742e-06,-5.953266164972742e-06
2.0,0.02,403.24919662444637,-12.249997115886437,0.6811282061883672,1.33730377770866e-05,13.884682950318634,-0.00553399005053367,-0.33113031535368853,-0.9842731968212345,-0.0182625242510421,-1.3747065568238495e-05,0.00038009827868381105,-0.00174468025597895,0.001524171460788642,-0.0017201148052555359,-1.974102636390025e-05,-1.974102636390025e-05
3.0,0.03,403.3880328158449,-12.250001600661678,0.6811339466711978,2.8212444141893927e-05,13.88275152371795,-0.00855926704301122,-0.27979932247649697,5.407993861286907,-0.021847480760543075,-1.9919635343392948e-05,0.00039330854065773146,-0.001777449270331638,0.0013277906075883001,-0.0018861944249536273,-3.230230514209839e-05,-3.230230514209839e-05
4.0,0.04,403.5268497630456,-12.250008445119128,0.6811422943924943,4.778464810967799e-05,13.880830731222309,-0.010984631557373394,-0.21621872365033543,6.555349980318655,-0.026073242912848377,-2.8937553556432782e-05,0.0003956809009825916,-0.0017939564925384167,0.0011830675160387203,-0.0020224418368891993,-4.2460341125938664e-05,-4.2460341125938664e-05
5.0,0.05,403.66564751087196,-12.250018080724177,0.6811534721699213,7.13546990091954e-05,13.878910543657758,-0.012762828447147908,-0.15220088735156526,6.395507698765576,-0.02936407037647364,-4.1037892612318824e-05,0.000394826897302258,-0.0018007656710974903,0.0010850365000570502,-0.0021189908859217165,-4.995497961439149e-05,-4.995497961439149e-05
6.0,0.06,403.80442603344153,-12.250030891649772,0.6811676152567013,9.81112868471979e-05,13.87698565333451,-0.013914671288284235,-0.09118163589815823,5.899044274074888,-0.03198290380217592,-5.61870859191169e-05,0.00039419731721118207,-0.0018016524178807714,0.0010280202760181627,-0.002176017970766921,-5.486876312960929e-05,-5.486876312960929e-05
7.0,0.07,403.943185274248,-12.250047151949852,0.6811845715510864,0.00012722557790490588,13.875055387709759,-0.014492052213733375,-0.03647449080128748,5.156042190523286,-0.03311014581773384,-7.407537174852369e-05,0.00039537394622237733,-0.0017988773395141288,0.0010062731865705574,-0.0021975897340362795,-5.74084690367991e-05,-5.74084690367991e-05
8.0,0.08,404.0819252171144,-12.250066976084884,0.6812040205027676,0.00015789946979652915,13.873127804677388,-0.014571733567092997,0.00982135675300747,4.260577627275719,-0.032464765717738306,-9.415843552988671e-05,0.00039894071335863375,-0.0017938125283917896,0.0010135363198768986,-0.002189457504782935,-5.788764967411274e-05,-5.788764967411274e-05
9.0,0.09,404.2206459080733,-12.250090293430448,0.6812256010396793,0.00018940102014034866,13.871203608555035,-0.014245060726278657,0.04658525711854606,3.2816786994852998,-0.02999659784056078,-0.00011565848073958639,0.0004047844497657566,-0.0017874743256426342,0.001043320097995389,-0.0021583441147503494,-5.668065270360603e-05,-5.668065270360603e-05
10.0,0.1,404.3593473636572,-12.250116845222816,0.6812490292168202,0.00022108974213942736,13.869280957713064,-0.013609782806363779,0.07352561804208235,2.306317924553094,-0.025851661073130427,-0.00013757899121058964,0.0004122500180448824,-0.001780278790356259,0.0010890838557595878,-0.0021111043995654414,-5.418797941549123e-05,-5.418797941549123e-05
11.0,0.11,404.4980296046306,-12.250146199933956,0.6812741048297227,0.00025243062814762955,13.867360690868543,-0.012762345184067285,0.09100463799270503,1.3857221123846617,-0.020336494666479358,-0.000158739120583541,0.00042063899233950254,-0.0017725796255344843,0.0011446202434263267,-0.0020540826453100403,-5.080498965628506e-05,-5.080498965628506e-05
12.0,0.12,404.63669266419635,-12.250177783399511,0.6813006596227619,0.0002830002706092171,13.8654458140118,-0.01179300628246485,0.0997915471102684,0.5543672233803593,-0.01385277825457694,-0.0001778372376874025,0.0004300501796642209,-0.0017653177724523295,0.001204402072758859,-0.001992925742331487,-4.690063646163078e-05,-4.690063646163078e-05
13.0,0.13,404.7753366089221,-12.250210918685505,0.6813285233106824,0.0003124864257538122,13.863535519281744,-0.010782611757813868,0.10092977713016268,-0.16379316970576555,-0.00683814145883685,-0.00019354108466944152,0.00043934298216206284,-0.0017583373597925512,0.0012636905274350952,-0.0019323901039994063,-4.280391792438895e-05,-4.280391792438895e-05
14.0,0.14,404.9139614532178,-12.250244870399971,0.6813574928180505,0.0003406819378670149,13.86162573217601,-0.009800481684595524,0.0956275060382668,-0.7572941041426161,0.0002739812252154773,-0.00020459233358140517,0.0004474530728711644,-0.001751437327279676,0.0013185964728540708,-0.001876240457674881,-3.879526580768856e-05,-3.879526580768856e-05
15.0,0.15,405.05256719854304,-12.250278889339034,0.6813873250752607,0.0003674749983385417,13.859715699542207,-0.00890328053714592,0.08518794681220107,-1.2165316060097064,0.007091500410404426,-0.00020990610229817714,0.00045441663072528517,-0.0017451516979486276,0.0013661712313951541,-0.0018273659386864845,-3.510327648396231e-05,-3.510327648396231e-05
16.0,0.16,405.1911538414408,-12.250312253545436,0.6814177569733886,0.0003928363981063061,13.85780528061035,-0.008134135359702557,0.07099019292139228,-1.5368881858494179,0.013287882019569945,-0.00020865742747868687,0.00046016674674336254,-0.0017397589728531092,0.0014043543807815092,-0.0017877482461060514,-3.190167009113821e-05,-3.190167009113821e-05
