`,Time,traj_tx,traj_ty,traj_tz,,,
145,1.45,420.0730064,-12.25,0,,,
146,1.46,420.1889331,-12.25,0,,,
147,1.47,420.3051109,-12.25,0,,,
148,1.48,420.4215373,-12.25,0,,,
149,1.49,420.5382103,-12.25,0,,,
150,1.5,420.655128,-12.25,0,,,
151,1.51,420.7722889,-12.25,0,,,
152,1.52,420.889692,-12.25,0,,,
153,1.53,421.0073364,-12.25,0,,,
154,1.54,421.1252214,-12.25,0,,,
155,1.55,421.2433469,-12.25,0,,,
156,1.56,421.3617127,-12.25,0,,,
157,1.57,421.4803189,-12.25,0,,,
158,1.58,421.5991658,-12.25,0,,,
159,1.59,421.718254,-12.25,0,,,
160,1.6,421.837584,-12.25,0,,,
161,1.61,421.9571566,-12.25,0,,,
162,1.62,422.0769716,-12.25,0,,,
163,1.63,422.197029,-12.25,0,,,
164,1.64,422.3173266,-12.25,0,,,
165,1.65,422.4378216,-12.25,0,,,
166,1.66,422.5584321,-12.25,0,,,
167,1.67,422.679077,-12.25,0,,,
168,1.68,422.7996824,-12.25,0,,,
169,1.69,422.9202167,-12.25,0,,,
170,1.7,423.0406847,-12.25,0,,,
171,1.71,423.1610901,-12.25,0,,,
172,1.72,423.281434,-12.25,0,,,
173,1.73,423.4017176,-12.25,0,,,
174,1.74,423.5219437,-12.25,0,,,
175,1.75,423.6421164,-12.25,0,,,
176,1.76,423.7622413,-12.25,0,,,
177,1.77,423.8823253,-12.25,0,,,
178,1.78,424.0023751,-12.25,0,,,
179,1.79,424.1223971,-12.25,0,,,
180,1.8,424.2423971,-12.25,0,,,
181,1.81,424.3623802,-12.25,0,,,
182,1.82,424.4823512,-12.25,0,,,
183,1.83,424.6023145,-12.25,0,,,
184,1.84,424.7222741,-12.25,0,,,
185,1.85,424.8422334,-12.25,0,,,
186,1.86,424.9621957,-12.25,0,,,
187,1.87,425.0821636,-12.25,0,,,
188,1.88,425.2021395,-12.25,0,,,
189,1.89,425.3221307,-12.25,0,,,
190,1.9,425.4421584,-12.25,0,,,
191,1.91,425.5622458,-12.25,0,,,
192,1.92,425.682415,-12.25,0,,,
193,1.93,425.8026876,-12.25,0,,,
194,1.94,425.9230847,-12.25,0,,,
195,1.95,426.0436275,-12.25,0,,,
196,1.96,426.164337,-12.25,0,,,
197,1.97,426.285234,-12.25,0,,,
198,1.98,426.4063386,-12.25,0,,,
199,1.99,426.5276653,-12.25,0,,,
200,2,426.6492137,-12.25,0,,,
201,2.01,426.7709803,-12.25,0,,,
202,2.02,426.8929623,-12.25,0,,,
203,2.03,427.0151573,-12.25,0,,,
204,2.04,427.1375624,-12.25,0,,,
205,2.05,427.2601738,-12.25,0,,,
206,2.06,427.3829876,-12.25,0,,,
207,2.07,427.5060001,-12.25,0,,,
208,2.08,427.6292066,-12.25,0,,,
209,2.09,427.7526023,-12.25,0,,,
210,2.1,427.8761827,-12.25,0,,,
211,2.11,427.9999434,-12.25,0,,,
212,2.12,428.1238802,-12.25,0,,,
213,2.13,428.2479892,-12.25,0,,,
214,2.14,428.3722666,-12.25,0,,,
215,2.15,428.496709,-12.25,0,,,
216,2.16,428.6213132,-12.25,0,,,
217,2.17,428.7460762,-12.25,0,,,
218,2.18,428.8709957,-12.25,0,,,
219,2.19,428.9960694,-12.25,0,,,
220,2.2,429.1212954,-12.25,0,,,
221,2.21,429.2466722,-12.25,0,,,
222,2.22,429.3721986,-12.25,0,,,
223,2.23,429.4978735,-12.25,0,,,
224,2.24,429.6236963,-12.25,0,,,
225,2.25,429.7496664,-12.25,0,,,
226,2.26,429.8757834,-12.25,0,,,
227,2.27,430.0020463,-12.25,0,,,
228,2.28,430.1284533,-12.25,0,,,
229,2.29,430.2550026,-12.25,0,,,
230,2.3,430.3816702,-12.25,0,,,
231,2.31,430.508403,-12.25,0,,,
232,2.32,430.6351475,-12.25,0,,,
233,2.33,430.7618534,-12.25,0,,,
234,2.34,430.8884932,-12.25,0,,,
235,2.35,431.0150686,-12.25,0,,,
236,2.36,431.141582,-12.25,0,,,
237,2.37,431.2680342,-12.25,0,,,
238,2.38,431.3944262,-12.25,0,,,
239,2.39,431.5207598,-12.25,0,,,
240,2.4,431.6470382,-12.25,0,,,
241,2.41,431.7732656,-12.25,0,,,
242,2.42,431.8994473,-12.25,0,,,
243,2.43,432.0255885,-12.25,0,,,
244,2.44,432.1516944,-12.25,0,,,
245,2.45,432.2777698,-12.25,0,,,
246,2.46,432.403819,-12.25,0,,,
247,2.47,432.5298459,-12.25,0,,,
248,2.48,432.6558543,-12.25,0,,,
249,2.49,432.7818479,-12.25,0,,,
250,2.5,432.90783,-12.25,0,,,
251,2.51,433.0338037,-12.25,0,,,
252,2.52,433.1597715,-12.25,0,,,
253,2.53,433.2857361,-12.25,0,,,
254,2.54,433.4117018,-12.25,0,,,
255,2.55,433.5376832,-12.25,0,,,
256,2.56,433.6636974,-12.25,0,,,
257,2.57,433.789761,-12.25,0,,,
258,2.58,433.9158899,-12.25,0,,,
259,2.59,434.0420998,-12.25,0,,,
