num,time,x,y,yaw,carv,ang,vel,acc,devDist,devAng,alHori,roll,rl,rr,fl,fr
0.0,0.0,2.971465477840387,-9.999993718910554,5.906473577653713e-08,13.88888888888889,0.0,0.0,0.0,-0.015567517347213433,-8.854486801643922e-06,0.0002444433671580689,-0.0015896072133372782,0.001996927745750752,-0.001533068878525471,0.0,0.0
1.0,0.01,3.110292123823718,-9.99999515342863,3.2937352145115905e-06,13.873712194769228,-0.11281386315822602,-0.27847500675168974,-12.576370812752286,-0.06650206434918543,-1.1957529860821068e-05,-0.001519028832456811,-0.000531899738237721,-0.005292418487930835,-0.00860904056090041,-0.00040499065557327246,-0.00040499065557327246
2.0,0.02,3.248867251219196,-10.000004738311342,7.253706333885235e-06,13.843220723251891,-0.20941371917724608,0.08353144993238089,40.555954154093754,-0.20772973795638103,-3.089497417875586e-05,-0.0029052806210474783,0.0004479540976198498,-0.011447411256174456,-0.01471868128438997,-0.0007531531467838301,-0.0007531531467838301
3.0,0.03,3.387112209190016,-10.000036253878136,3.505045062458308e-06,13.8089291693666,-0.23522739708423615,0.5901366610816671,50.58363062307498,-0.37452369225372,-8.665587132896971e-05,-0.00334653907826077,0.0009972310702405672,-0.012876349927237267,-0.0161618531959639,-0.0008188678119873861,-0.0008188678119873861
4.0,0.04,3.5250089541710143,-10.00010523296383,-1.62479993954235e-05,13.773930231267318,-0.10504237711429593,0.9809725885004177,25.198435561890975,-0.44505791322762306,-0.00019795600466871786,-0.003042069312635759,0.0016529749156927686,-0.0041386837974524806,-0.007421491543294466,-0.00038519519025211247,-0.00038519519025211247
5.0,0.05,3.6625578774292986,-10.000217709613716,-5.444142690708971e-05,13.739469268833808,0.03791137039661411,0.9324279508701452,-20.965148525644832,-0.35867943730346274,-0.0003644690758945829,-0.0026321948815845493,0.002200687852493805,0.0051103021145742795,0.0017710542022219716,7.105646567735045e-05,7.105646567735045e-05
6.0,0.06,3.799768568365991,-10.000364874765674,-0.00010582335016491894,13.70626504648874,0.1814037770032882,0.5403002763022955,-50.69473943099864,-0.14806560137406533,-0.0005606806351472591,-0.0022564477521537594,0.002598417577832402,0.013958602856563706,0.01050050334949806,0.00046170202502988846,0.00046170202502988846
7.0,0.07,3.93665618708374,-10.000525475069049,-0.00015894761051159028,13.67475000007791,0.2512303858995436,0.016701516302300295,-52.35987599999999,0.12040482421243379,-0.0007435938483655244,-0.0021032786897919554,0.002705833613800738,0.01796775957668321,0.014372142265279117,0.0006181673645814306,0.0006181673645814306
8.0,0.08,4.0732390080903045,-10.000673512961416,-0.00020022832380832257,13.64514886803197,0.1099721521139144,-0.5068972436976927,-52.35987599999992,0.29250967971441744,-0.0008708525521405213,-0.002462575133840676,0.0022884039237971196,0.00888555646424493,0.005244883346275618,0.0002869101906715438,0.0002869101906715438
9.0,0.09,4.2095369932832405,-10.00079262455344,-0.00022166253776438025,13.617582133816999,-0.03340942561626435,-0.7390158178053601,-3.4440919146105333,0.2928362040187758,-0.0009230309335203684,-0.002808747216821823,0.0018519501275677138,-0.0003307666806067238,-0.0040897988050363565,-4.020130930172772e-05,-4.020130930172772e-05
10.0,0.1,4.3455700163334665,-10.000883037593916,-0.00022395905331693016,13.591933556325568,-0.18286136090755475,-0.5456943807499582,32.84251570460908,0.14926560068233702,-0.0009110571613088649,-0.003032278962195955,0.001437777403004669,-0.00988656993238281,-0.01381410267015556,-0.0003220938778230178,-0.0003220938778230178
11.0,0.11,4.4813557641579305,-10.000959984217637,-0.00021590378107653639,13.56791445336831,-0.331038272380829,-0.0694836600983461,52.35987599999649,-0.1259700165926245,-0.0008679355491077627,-0.003177736855843655,0.0010848085133484844,-0.019194952935923878,-0.023335482129568468,-0.0005504252287227221,-0.0005504252287227221
12.0,0.12,4.616908486925974,-10.00105086961287,-0.00021239111007996425,13.545159215656746,-0.3970543652772904,0.4541150999016224,52.35987599999843,-0.45353293616922935,-0.0008417396550413229,-0.0031697902004535067,0.0008697110789014334,-0.02292194979788011,-0.027263726644652243,-0.0006140382041964064,-0.0006140382041964064
13.0,0.13,4.752239233924884,-10.001187265536636,-0.00022964940116663806,13.523418360194315,-0.2713004440069197,0.9777138599015847,52.35987599999648,-0.6738291519237685,-0.0008801482198228638,-0.002875707573647009,0.0009663719551732048,-0.014053994573151908,-0.018478740696403713,-0.0004008852903664665,-0.0004008852903664665
14.0,0.14,4.88735784367726,-10.00139013827336,-0.00027756652544916625,13.502656173944846,-0.12145136296749097,1.2665861742079596,9.222292113027933,-0.7035419116272232,-0.0010070338270514246,-0.002575693610873348,0.001071649913843443,-0.0039002362379307897,-0.008409990747672737,-0.00017176553675617433,-0.00017176553675617433
15.0,0.15,5.022273804626504,-10.001662271833617,-0.00035653550676160436,13.482823962794045,0.01744069755077353,1.1142968360893173,-28.273679019715534,-0.5769074534197104,-0.0012138175173360857,-0.0023238392160046415,0.001151103164427445,0.005082263522435237,0.00046790745868230404,3.9513006251468796e-06,3.9513006251468796e-06
