,num,Time,traj_tx,traj_ty
0,1.0,0.0,2.3608849804951997,-5.5
1,1.0,0.01,2.416323585720896,-5.5
2,1.0,0.02,2.4714939538609055,-5.5
3,1.0,0.03,2.526412327723695,-5.5
4,1.0,0.04,2.5811019833230864,-5.5
5,1.0,0.05,2.635577636074067,-5.5
6,1.0,0.06,2.6898520061332802,-5.5
7,1.0,0.07,2.7439422622836496,-5.5
8,1.0,0.08,2.7979418882123483,-5.5
9,1.0,0.09,2.8519092966916046,-5.5
10,1.0,0.1,2.90584778896362,-5.5
11,1.0,0.11,2.959762562603676,-5.5
12,1.0,0.12,3.0136567359325515,-5.5
13,1.0,0.13,3.0675304897255646,-5.5
14,1.0,0.14,3.1213812934025196,-5.5
15,1.0,0.15,3.1752051732693136,-5.5
16,1.0,0.16,3.2289974177493277,-5.5
17,1.0,0.17,3.28275259909089,-5.5
18,1.0,0.18,3.3364650172277646,-5.5
19,1.0,0.19,3.3901289458172563,-5.5
20,1.0,0.2,3.44373859899418,-5.5
21,1.0,0.21,3.497288067537702,-5.5
22,1.0,0.22,3.5507713069509474,-5.5
23,1.0,0.23,3.604182119757504,-5.5
24,1.0,0.24,3.657514397136298,-5.5
25,1.0,0.25,3.7107621488845215,-5.5
26,1.0,0.26,3.763919377115913,-5.5
27,1.0,0.27,3.816980226740137,-5.5
28,1.0,0.28,3.8699391417386106,-5.5
29,1.0,0.29,3.922790957223315,-5.5
30,1.0,0.3,3.975530949143316,-5.5
31,1.0,0.31,4.028154860674004,-5.5
32,1.0,0.32,4.080658894133138,-5.5
33,1.0,0.33,4.133039671578035,-5.5
34,1.0,0.34,4.185294247863686,-5.5
35,1.0,0.35000000000000003,4.237420220974132,-5.5
36,1.0,0.36,4.289415626783592,-5.5
37,1.0,0.37,4.341278979978227,-5.5
38,1.0,0.38,4.393009205941707,-5.5
39,1.0,0.39,4.444605660222291,-5.5
40,1.0,0.4,4.496068054161341,-5.5
41,1.0,0.41000000000000003,4.547396405214286,-5.5
42,1.0,0.42,4.598591002043023,-5.5
43,1.0,0.43,4.649652333138244,-5.5
44,1.0,0.44,4.700581054430838,-5.5
45,1.0,0.45,4.751377938911608,-5.5
46,1.0,0.46,4.802043847122481,-5.5
47,1.0,0.47000000000000003,4.852579709559498,-5.5
48,1.0,0.48,4.902986506787958,-5.5
49,1.0,0.49,4.95326527153905,-5.5
50,1.0,0.5,5.003417074663288,-5.5
51,1.0,0.51,5.053443010341486,-5.5
52,1.0,0.52,5.103344183978846,-5.5
53,1.0,0.53,5.153121701929285,-5.5
54,1.0,0.54,5.202776666114966,-5.5
55,1.0,0.55,5.252310166437406,-5.5
56,1.0,0.56,5.3017232676353805,-5.5
57,1.0,0.5700000000000001,5.351017004594375,-5.5
58,1.0,0.58,5.400192378069347,-5.5
59,1.0,0.59,5.449250355645887,-5.5
60,1.0,0.6,5.498191965587112,-5.5
61,1.0,0.61,5.547018233172183,-5.5
62,1.0,0.62,5.595730073058909,-5.5
63,1.0,0.63,5.644328335015423,-5.5
64,1.0,0.64,5.692813828856568,-5.5
65,1.0,0.65,5.74118733268252,-5.5
66,1.0,0.66,5.789449596358532,-5.5
67,1.0,0.67,5.837601307536755,-5.5
68,1.0,0.68,5.885643082970066,-5.5
69,1.0,0.6900000000000001,5.93357546327675,-5.5
70,1.0,0.7000000000000001,5.98139891033869,-5.5
71,1.0,0.71,6.02911380596294,-5.5
72,1.0,0.72,6.076720452729356,-5.5
73,1.0,0.73,6.124219077469217,-5.5
74,1.0,0.74,6.1716098323074835,-5.5
75,1.0,0.75,6.218892787633655,-5.5
76,1.0,0.76,6.266067941803348,-5.5
77,1.0,0.77,6.313135232402892,-5.5
78,1.0,0.78,6.360094547205881,-5.5
79,1.0,0.79,6.406945733862148,-5.5
80,1.0,0.8,6.453688603055346,-5.5
81,1.0,0.81,6.5003229343147435,-5.5
82,1.0,0.8200000000000001,6.546848482029061,-5.5
83,1.0,0.8300000000000001,6.593264981412441,-5.5
84,1.0,0.84,6.639572157666704,-5.5
85,1.0,0.85,6.685769726205036,-5.5
86,1.0,0.86,6.731857392510745,-5.5
87,1.0,0.87,6.777834857608209,-5.5
88,1.0,0.88,6.8237018221382435,-5.5
89,1.0,0.89,6.869457988962218,-5.5
90,1.0,0.9,6.915103064846717,-5.5
91,1.0,0.91,6.960636761668663,-5.5
92,1.0,0.92,7.006058797374465,-5.5
93,1.0,0.93,7.051368897252539,-5.5
94,1.0,0.9400000000000001,7.096566794223708,-5.5
95,1.0,0.9500000000000001,7.141652230456094,-5.5
96,1.0,0.96,7.186624958023367,-5.5
97,1.0,0.97,7.231484736588465,-5.5
98,1.0,0.98,7.276231349069039,-5.5
99,1.0,0.99,7.320864629500688,-5.5
100,1.0,1.0,7.365384402661166,-5.5
101,1.0,1.01,7.4097904809661195,-5.5
102,1.0,1.02,7.454082676336943,-5.5
103,1.0,1.03,7.4982608080147175,-5.5
104,1.0,1.04,7.542324704808884,-5.5
105,1.0,1.05,7.586274201817908,-5.5
106,1.0,1.06,7.6301091344078245,-5.5
107,1.0,1.07,7.67382933433036,-5.5
108,1.0,1.08,7.717434626771624,-5.5
109,1.0,1.09,7.760924828451968,-5.5
110,1.0,1.1,7.804299747742254,-5.5
111,1.0,1.11,7.847559185825579,-5.5
112,1.0,1.12,7.8907029383288485,-5.5
113,1.0,1.1300000000000001,7.9337307968478115,-5.5
114,1.0,1.1400000000000001,7.976642549910062,-5.5
115,1.0,1.1500000000000001,8.01943798374142,-5.5
116,1.0,1.16,8.062116893076878,-5.5
117,1.0,1.17,8.104679086616146,-5.5
118,1.0,1.18,8.14712437174107,-5.5
119,1.0,1.19,8.189452549868749,-5.5
120,1.0,1.2,8.231663416441094,-5.5
121,1.0,1.21,8.273756761874132,-5.5
122,1.0,1.22,8.31573237290321,-5.5
123,1.0,1.23,8.357590031695407,-5.5
124,1.0,1.24,8.399329515515335,-5.5
125,1.0,1.25,8.440950596782278,-5.5
126,1.0,1.26,8.482453042781392,-5.5
127,1.0,1.27,8.523836615204887,-5.5
128,1.0,1.28,8.565101069669675,-5.5
129,1.0,1.29,8.606246155438193,-5.5
130,1.0,1.3,8.6472716162691,-5.5
131,1.0,1.31,8.688177190000662,-5.5
132,1.0,1.32,8.728962606332304,-5.5
133,1.0,1.33,8.769627584340371,-5.5
134,1.0,1.34,8.81017183003188,-5.5
135,1.0,1.35,8.850595040207736,-5.5
136,1.0,1.36,8.890896909974382,-5.5
137,1.0,1.37,8.931077104268137,-5.5
138,1.0,1.3800000000000001,8.971135251892104,-5.5
139,1.0,1.3900000000000001,9.01107094502011,-5.5
140,1.0,1.4000000000000001,9.050883731713062,-5.5
141,1.0,1.41,9.09057310122696,-5.5
142,1.0,1.42,9.13013846128887,-5.5
143,1.0,1.43,9.1695791027844,-5.5
144,1.0,1.44,9.20889415232314,-5.5
145,1.0,1.45,9.248082508618548,-5.5
146,1.0,1.46,9.287142748090053,-5.5
147,1.0,1.47,9.326073003716333,-5.5
148,1.0,1.48,9.364870993541379,-5.5
149,1.0,1.49,9.403536274906882,-5.5
150,1.0,1.5,9.44208708841469,-5.5
151,1.0,1.51,9.480547719963694,-5.5
152,1.0,1.52,9.518897988240214,-5.5
153,1.0,1.53,9.557129529729016,-5.5
154,1.0,1.54,9.595248072380992,-5.5
155,1.0,1.55,9.63325660686989,-5.5
156,1.0,1.56,9.67115274786705,-5.5
157,1.0,1.57,9.70893488095845,-5.5
158,1.0,1.58,9.746602968486917,-5.5
159,1.0,1.59,9.78415664394844,-5.5
160,1.0,1.6,9.821594796841907,-5.5
161,1.0,1.61,9.858916341206866,-5.5
162,1.0,1.62,9.89612045290916,-5.5
163,1.0,1.6300000000000001,9.933206290567957,-5.5
164,1.0,1.6400000000000001,9.970172914547115,-5.5
165,1.0,1.6500000000000001,10.007019335806053,-5.5
166,1.0,1.6600000000000001,10.043744519533078,-5.5
167,1.0,1.67,10.080347352637185,-5.5
168,1.0,1.68,10.116826594396866,-5.5
169,1.0,1.69,10.153180868703775,-5.5
170,1.0,1.7,10.189408647289138,-5.5
171,1.0,1.71,10.225508216742321,-5.5
172,1.0,1.72,10.261477637596096,-5.5
173,1.0,1.73,10.297314688327722,-5.5
174,1.0,1.74,10.3330168160532,-5.5
175,1.0,1.75,10.368581099955152,-5.5
176,1.0,1.76,10.404004304396826,-5.5
177,1.0,1.77,10.439283276136694,-5.5
178,1.0,1.78,10.474416495924526,-5.5
179,1.0,1.79,10.509408631410873,-5.5
180,1.0,1.8,10.544275678667697,-5.5
181,1.0,1.81,10.579045082076261,-5.5
182,1.0,1.82,10.613757372439984,-5.5
183,1.0,1.83,10.648459989552661,-5.5
184,1.0,1.84,10.683197100694715,-5.5
185,1.0,1.85,10.71800288992376,-5.5
186,1.0,1.86,10.752900790395255,-5.5
187,1.0,1.87,10.78790599834218,-5.5
188,1.0,1.8800000000000001,10.823028396690345,-5.5
189,1.0,1.8900000000000001,10.858274622103716,-5.5
190,1.0,1.9000000000000001,10.893649326111811,-5.5
191,1.0,1.9100000000000001,10.92915578364649,-5.5
192,1.0,1.92,10.964796176679467,-5.5
193,1.0,1.93,11.00057179050023,-5.5
194,1.0,1.94,11.036483211633303,-5.5
195,1.0,1.95,11.072530511301702,-5.5
196,1.0,1.96,11.108713379542579,-5.5
197,1.0,1.97,11.145031228141036,-5.5
198,1.0,1.98,11.181483307452831,-5.5
199,1.0,1.99,11.218068805911923,-5.5
200,1.0,2.0,11.254786876899495,-5.5
201,1.0,2.0100000000000002,11.291636635842798,-5.5
202,1.0,2.02,11.328617190497244,-5.5
203,1.0,2.0300000000000002,11.365727688550727,-5.5
204,1.0,2.04,11.40296731523467,-5.5
205,1.0,2.05,11.440335313402716,-5.5
