,num,Time,traj_tx,traj_ty
0,1,0,2.36088498,-5.5
1,1,0.01,2.416323586,-5.5
2,1,0.02,2.471493954,-5.5
3,1,0.03,2.526412328,-5.5
4,1,0.04,2.581101983,-5.5
5,1,0.05,2.635577636,-5.5
6,1,0.06,2.689852006,-5.5
7,1,0.07,2.743942262,-5.5
8,1,0.08,2.797941888,-5.5
9,1,0.09,2.851909297,-5.5
10,1,0.1,2.905847789,-5.5
11,1,0.11,2.959762563,-5.5
12,1,0.12,3.013656736,-5.5
13,1,0.13,3.06753049,-5.5
14,1,0.14,3.121381293,-5.5
15,1,0.15,3.175205173,-5.5
16,1,0.16,3.228997418,-5.5
17,1,0.17,3.282752599,-5.5
18,1,0.18,3.336465017,-5.5
19,1,0.19,3.390128946,-5.5
20,1,0.2,3.443738599,-5.5
21,1,0.21,3.497288068,-5.5
22,1,0.22,3.550771307,-5.5
23,1,0.23,3.60418212,-5.5
24,1,0.24,3.657514397,-5.5
25,1,0.25,3.710762149,-5.5
26,1,0.26,3.763919377,-5.5
27,1,0.27,3.816980227,-5.5
28,1,0.28,3.869939142,-5.5
29,1,0.29,3.922790957,-5.5
30,1,0.3,3.975530949,-5.5
31,1,0.31,4.028154861,-5.5
32,1,0.32,4.080658894,-5.5
33,1,0.33,4.133039672,-5.5
34,1,0.34,4.185294248,-5.5
35,1,0.35,4.237420221,-5.5
36,1,0.36,4.289415627,-5.5
37,1,0.37,4.34127898,-5.5
38,1,0.38,4.393009206,-5.5
39,1,0.39,4.44460566,-5.5
40,1,0.4,4.496068054,-5.5
41,1,0.41,4.547396405,-5.5
42,1,0.42,4.598591002,-5.5
43,1,0.43,4.649652333,-5.5
44,1,0.44,4.700581054,-5.5
45,1,0.45,4.751377939,-5.5
46,1,0.46,4.802043847,-5.5
47,1,0.47,4.85257971,-5.5
48,1,0.48,4.902986507,-5.5
49,1,0.49,4.953265272,-5.5
50,1,0.5,5.003417075,-5.5
51,1,0.51,5.05344301,-5.5
52,1,0.52,5.103344184,-5.5
53,1,0.53,5.153121702,-5.5
54,1,0.54,5.202776666,-5.5
55,1,0.55,5.252310166,-5.5
56,1,0.56,5.301723268,-5.5
57,1,0.57,5.351017005,-5.5
58,1,0.58,5.400192378,-5.5
59,1,0.59,5.449250356,-5.5
60,1,0.6,5.498191966,-5.5
61,1,0.61,5.547018233,-5.5
62,1,0.62,5.595730073,-5.5
63,1,0.63,5.644328335,-5.5
64,1,0.64,5.692813829,-5.5
65,1,0.65,5.741187333,-5.5
66,1,0.66,5.789449596,-5.5
67,1,0.67,5.837601308,-5.5
68,1,0.68,5.885643083,-5.5
69,1,0.69,5.933575463,-5.5
70,1,0.7,5.98139891,-5.5
71,1,0.71,6.029113806,-5.5
72,1,0.72,6.076720453,-5.5
73,1,0.73,6.124219077,-5.5
74,1,0.74,6.171609832,-5.5
75,1,0.75,6.218892788,-5.5
76,1,0.76,6.266067942,-5.5
77,1,0.77,6.313135232,-5.5
78,1,0.78,6.360094547,-5.5
79,1,0.79,6.406945734,-5.5
80,1,0.8,6.453688603,-5.5
81,1,0.81,6.500322934,-5.5
82,1,0.82,6.546848482,-5.5
83,1,0.83,6.593264981,-5.5
84,1,0.84,6.639572158,-5.5
85,1,0.85,6.685769726,-5.5
86,1,0.86,6.731857393,-5.5
87,1,0.87,6.777834858,-5.5
88,1,0.88,6.823701822,-5.5
89,1,0.89,6.869457989,-5.5
90,1,0.9,6.915103065,-5.5
91,1,0.91,6.960636762,-5.5
92,1,0.92,7.006058797,-5.5
93,1,0.93,7.051368897,-5.5
94,1,0.94,7.096566794,-5.5
95,1,0.95,7.14165223,-5.5
96,1,0.96,7.186624958,-5.5
97,1,0.97,7.231484737,-5.5
98,1,0.98,7.276231349,-5.5
