time,x,y,yaw,carv,ang,vel,acc,devDist,devAng,alHori,roll,rl,rr,fl,fr
0.0,2.9716824863008595,-9.99999373258554,5.64833348443182e-08,13.88888888888889,0.0,0.0,0.0,-0.01196701840644145,-8.827584470464972e-06,0.00017486455797018703,-0.0014950710010810963,0.0017942015118393318,-0.0012790418054465802,0.0,0.0
0.01,3.1105440203643866,-9.999994268016055,3.823250146083998e-06,13.881794430184822,0.03418472036719323,-0.37387683715701975,-33.745485181747775,0.00685519292776035,-8.515870786601236e-06,-0.00047683375841732137,-0.0005916716784820895,0.003826505994538212,0.0007655209031807552,0.00012430213502908147,0.00012430213502908147
0.02,3.2492461899687775,-9.999993824644639,1.4201310856412856e-05,13.85889423021081,0.09397318884730338,-0.42029007674890223,-13.221219638619097,0.07155895357303553,-2.2265050498899375e-06,-0.0018283065156190824,0.0012881458884597596,0.00781673668677623,0.004777768262135839,0.00034155326483256595,0.00034155326483256595
0.03,3.387673920827724,-9.999986212106524,3.3064481375051345e-05,13.829170033656709,0.05625791028141976,-0.5115297055842835,-5.900542443678229,0.12879494232679745,1.7581986573910786e-05,-0.0026956461180563714,0.0020724112530070265,0.005377889437027884,0.002333076991151789,0.0002200338875236827,0.0002200338875236827
0.04,3.5257954201547888,-9.99996564041009,6.226015869441781e-05,13.798170549751292,0.19954655840992924,-0.5944251946726481,-18.70344166118863,0.20701596350330523,5.679502952162852e-05,-0.002555405122898067,0.0028497192181160566,0.013041641110128828,0.009901057197397754,0.0006367727728774374,0.0006367727728774374
0.05,3.663606862652952,-9.99992339390808,0.0001063716447335803,13.767285791242712,0.2358627900481224,-0.8452746360771138,-22.505772963615758,0.3743675522372126,0.0001374910587335537,-0.0025425611850530454,0.003074564506588556,0.017413045525634583,0.01413026128813607,0.0007456311377514951,0.0007456311377514951
0.06,3.801112263558097,-9.99984363269889,0.00017049309236822656,13.73691674178165,0.24246559515595442,-1.1402202264213026,-37.683893695608546,0.4859741714364039,0.0002681537964139893,-0.0026013714475404013,0.003078047407627491,0.015088950033467908,0.011706518436079174,0.0007223253107971493,0.0007223253107971493
0.07,3.938318423923236,-9.999715015432766,0.00026022899933918583,13.707499676763897,0.19291235581040386,-1.376192723035656,0.29634322998295354,0.5644593305680535,0.00045900076880448507,-0.002783274614674794,0.0028575216959111733,0.013243923886270286,0.00977367997729713,0.0005481187062369461,0.0005481187062369461
0.08,4.075237413400073,-9.999530169488443,0.0003771153464237204,13.679324596939638,0.23702356293797502,-1.3438273512605112,-9.849247531501284,0.6060737034223879,0.0007104006685819072,-0.0027330140298048866,0.0028146868615968983,0.014696639625229414,0.011090629464381396,0.0005960272499877552,0.0005960272499877552
0.09,4.211881257645383,-9.9992837126152,0.0005245324095109934,13.652450365300837,0.3259858287870884,-1.4611287796330572,-8.845618857888917,0.7170335054884666,0.0010292014243758682,-0.002563120501842446,0.002871019231825213,0.021285690950851734,0.0174470455281074,0.0007495255473903444,0.0007495255473903444
0.1,4.34826397363642,-9.998965055952354,0.0007062848119723297,13.62692214651315,0.4479626543819906,-1.624850925298847,-27.06767401972063,0.8670469320651597,0.0014241333546901312,-0.002298610420722698,0.0029900179863695292,0.02787897252222194,0.023775905992366363,0.0009479607546363359,0.0009479607546363359
0.11,4.484397129386072,-9.99855840968937,0.0009302994614483847,13.602515127366901,0.5060291536152364,-1.9527989981353837,-31.023811815022977,1.0614106498253122,0.001909666209456384,-0.0021368194526262506,0.002939499879846961,0.031461264198659196,0.027092937786008336,0.0009980358800309112,0.0009980358800309112
0.12,4.620291934921958,-9.998045624955022,0.0012039730290607613,13.579158584929369,0.5426110737025738,-2.2462509870347107,-32.154705555208245,1.2120211024640741,0.0024972229324193343,-0.002040289434375394,0.0028337305723628147,0.03266702586611518,0.02805389199164294,0.000982487856759944,0.000982487856759944
