Time,Steer.Ang,Steer.Vel,Steer.Acc,carx,cary,caryaw,carv,alHori,Roll
0.0,0.0,0.0,0.0,2.270438168664533,-8.052500002102628,3.0127734238587653e-11,13.888888888888891,-0.013747296171203374,-6.973891355213105e-09
0.01,-0.004695053100585938,0.046870986981679616,7.096898978205951,2.409104142789989,-8.052498158068113,8.947159160424037e-08,13.829736385213558,0.06263374154562495,-8.127896159071068e-05
0.02,-0.01664669990539551,0.0968344303722766,9.738216178238613,2.546819413749178,-8.052491234856143,2.661366996825634e-07,13.726017256635526,0.05683273353477593,-0.0002947375026914226
0.03,-0.03340273857116698,0.24146927985055028,13.456407917489098,2.6835878523734236,-8.05247968506385,-8.767315583485633e-07,13.636656723352456,0.021818083230617586,-0.0006289199090182379
0.04,-0.007768983840942361,0.24751457931166776,-26.145207467349305,2.8194553164027885,-8.052466463140918,-4.484476733847679e-06,13.546210303097673,0.05732622617346906,-0.0010710303727235555
0.05,-0.047109317779540985,-0.1306058261588346,-11.328105585430691,2.9544333080409038,-8.052448008163351,-5.865174824017277e-06,13.458268953866973,0.04473149532451445,-0.0015949398496325725
0.06,-0.051923789978027324,0.08441780037387833,20.723972585108392,3.0885397864294375,-8.052427625382796,-6.601531162856755e-06,13.37188921400507,-0.05391042866734933,-0.0021827474752786446
0.07,-0.05302701950073241,0.07313208364560779,-14.869000394438615,3.2217952466259945,-8.052412990626248,-8.785208021432287e-06,13.28783694381757,-0.08020816511589447,-0.0028178015969751867
0.08,-0.02030175209045411,-0.3002728505713916,-52.359875999999964,3.3542251576607134,-8.052404980275114,-6.617651266060608e-06,13.206644310006356,0.1297274007369844,-0.003474962883294097
0.09,0.011970529556274387,-0.8238716105713908,-52.35987599999987,3.4859542591626242,-8.05239587824189,1.601605046172552e-05,13.155102095827315,0.1198320964601262,-0.004062445546179312
0.1,-0.03051830768585211,-1.188765439193118,3.396820105344808,3.617351911929041,-8.052376261858237,7.546544928500996e-05,13.12604938117873,0.033530745954994425,-0.004478212063792747
0.11,-0.1039417982101441,-0.6999258355424725,52.35987599999999,3.7484479929422214,-8.052358627844592,0.00016302167323973093,13.096455863675702,-0.3435516125838327,-0.004726446633836391
0.12,-0.11092221736907962,-0.17632707554247307,52.3598759999999,3.8792463430674333,-8.052379606304951,0.00024950687142075314,13.066164521307398,-0.6373409637699018,-0.004846310279836266
0.13,-0.046348500251769946,0.16462626050843865,-8.310528496707402,4.009732351589134,-8.052462445971036,0.00031833221314069357,13.03408169342624,-0.5302082699781885,-0.0048620085478636825
0.14,0.029327139854431278,-0.33093330295924966,-52.35987599999995,4.139881611046051,-8.052591449996942,0.00038276804214618543,12.998959269707173,-0.11822454522774822,-0.0047639602342273825
0.15,0.07098178386688239,-0.8545320629592462,-52.35987599999893,4.2696596704943515,-8.052727508863422,0.00047019408417776334,12.960240737089189,0.2390285342137536,-0.004522888734953515
0.16,0.02274481296539308,-1.1400322840450374,14.603629717536025,4.399033282030704,-8.052840265105443,0.0005971464942076947,12.91847137148032,0.2185643927311884,-0.0041270656435899895
0.17,-0.05527511596679692,-0.6383815345376191,52.35987599999999,4.527976630021398,-8.052936425144274,0.0007497710555283109,12.874529234419628,-0.16844030962422551,-0.0036146363985721116
0.18,-0.13045228958129867,-0.11478277453762908,52.35987599999999,4.656471785137949,-8.053054800623599,0.000891342134174034,12.829017804509736,-0.6372611371399806,-0.0030605321326432245
0.19,-0.16602645397186278,0.4088159854623709,52.35987599999992,4.784503986127081,-8.053239523432813,0.0009840067494729181,12.782063637109216,-0.9363372067778216,-0.002536825552864997
0.2,-0.09003671169280991,0.5633620244716858,-43.387867158076816,4.9120587675584755,-8.053513514174135,0.0010102883830762533,12.733677848160266,-0.7584279940025224,-0.0020834848549650207
0.21,-0.013460612297058114,0.0397632644716872,-52.35987599999997,5.039122210921729,-8.053853296771319,0.0009917182486003906,12.683941763603801,-0.21890155138475853,-0.0016836577234642057
0.22,0.01839251995086671,-0.48383549552831256,-52.35987599999973,5.16568100313567,-8.05420763411654,0.0009688241773926869,12.632841162014657,0.20927207673765463,-0.0012925360442132719
0.23,-0.049792008399963415,-0.899015333169692,-8.948235824538623,5.29172131567333,-8.054540202588903,0.0009670299385604005,12.580344754700615,0.1848036735240254,-0.0008863229837452576
