num,time,x,y,yaw,carv,ang,vel,acc,devDist,devAng,alHori,roll,rl,rr,fl,fr
1892.0,18.92,258.29274762024494,-25.888446283899874,0.06230726090845241,13.904120283255146,0.2819534808394973,4.608848565385849,-15.093931731092285,0.6864738260491137,0.004053034760106945,0.0026416994327291632,-0.0008263586611656081,0.018608668345086142,0.01529066288045063,0.0011918936930140549,0.0011918936930140549
1893.0,18.93,258.4314827190722,-25.87914595151629,0.06275288586848439,13.90508333678184,0.14173532724360074,4.537120214848703,-2.2163752165050914,0.6784698680464039,0.004025368768187426,0.002102464533123464,-0.0013659560380751244,0.009818807976050973,0.0066038796500259445,0.0006541625751854146,0.0006541625751854146
1894.0,18.94,258.57022320421993,-25.869778189820067,0.06320415953560082,13.906094569578244,0.010326272248997084,4.63381762324792,16.924282182258132,0.5414304959779508,0.004009466490536123,0.0015420178027430263,-0.0019260363860474925,0.0015891041920738293,-0.0015500370816205742,9.873311718163557e-05,9.873311718163557e-05
1895.0,18.95,258.7089701632554,-25.86035553853435,0.06365583992255912,13.907105778781297,0.05845749378180915,4.900184700259886,31.11775088406025,0.4092455208741565,0.003982935730497759,0.0016606319280756282,-0.001806224498665476,0.004800462506848754,0.0016750033680888628,0.0002260967121927353,0.0002260967121927353
1896.0,18.96,258.84772425655393,-25.850890346488853,0.06410333109965262,13.90809858177137,0.20567266345002982,5.155235380370852,18.43214676944349,0.4113095146193553,0.003928390455288194,0.002234209984867154,-0.0012316565395196046,0.014128581020942289,0.010934067402117649,0.0008062033638507904,0.0008062033638507904
1897.0,18.97,258.98648529340744,-25.841382575330986,0.06454731335359745,13.909070839815676,0.3400813579556947,5.05389974284817,-30.265698014847583,0.5516600571679107,0.003852185158283646,0.002809701163486713,-0.000655875877762294,0.02239555952907146,0.019055486182200914,0.0013814300744228927,0.0013814300744228927
1898.0,18.98,259.1252520239223,-25.831819511878603,0.06499324301107628,13.909998824780219,0.2960970818993981,4.747391118649241,-23.63827581244915,0.692013075238314,0.003780531022058186,0.0027072810315434256,-0.0007585544570096157,0.0195194752900002,0.016207840386179537,0.001272913760481286,0.001272913760481286
1899.0,18.990000000000002,259.2640233093341,-25.822187983687783,0.06544592004555688,13.910935051687922,0.14880935847732457,4.603622902307669,-7.311694834571671,0.704708366113277,0.003735013968443624,0.0021333421572796865,-0.0013322527417250051,0.010261167336562236,0.007051884715096923,0.0006938757742995949,0.0006938757742995949
1900.0,19.0,259.40279939714827,-25.812486599864503,0.06590489013517127,13.911921842225288,0.021170255541558984,4.624048740297848,10.050324961984789,0.582586975183579,0.00371395909663156,0.001583372524372426,-0.0018812345243420826,0.002250406075224269,-0.0008873279783718013,0.00014422412255429235,0.00014422412255429235
1901.0,19.01,259.5415812960738,-25.80272618795621,0.06636500379395902,13.912908745231919,0.09199972450710044,4.808931041199588,19.742131269259687,0.47526045588696797,0.00369655884731828,0.0017956824358556962,-0.0016673484937164012,0.006852793594147457,0.003715448067603062,0.0003615234841686988,0.0003615234841686988
1902.0,19.02,259.6803695122683,-25.792916645538043,0.0668223260734255,13.913875674348121,0.2389577060935275,4.975590017727165,9.880051993542397,0.5028672729163715,0.003668163672060487,0.0023865758758343614,-0.001074682877805544,0.01609223975105117,0.012856466726804794,0.0009563661800952808,0.0009563661800952808
1903.0,19.03,259.81916362451364,-25.783055617674144,0.06727820457095526,13.914813037803098,0.3297429710624138,4.797721638270545,-34.43950610248213,0.6350701151213093,0.0036368574587205115,0.002800991462197347,-0.0006585384751506213,0.021640380635721188,0.018305766026660647,0.0013696927170455224,0.0013696927170455224
1904.0,19.04,259.9579624004709,-25.773131233227172,0.06773744783248511,13.915717519420026,0.23370736241317902,4.520446581719233,-18.071679713654,0.7201688952637817,0.003624381021350227,0.002476208253925401,-0.0009812171547203309,0.0155755931691036,0.012314523114054999,0.001040901585662453,0.001040901585662453
1905.0,19.05,260.0967652566664,-25.763135489846537,0.06820254980583085,13.916653062109948,0.0869280427691818,4.434611234176428,-2.7113067153369848,0.6667814423447201,0.003640787263421065,0.001872529274002606,-0.00158240786159742,0.006373910917329646,0.0032032122713515597,0.000435372385047706,0.000435372385047706
1906.0,19.06,260.2355729319845,-25.753073303417818,0.06867055531062698,13.917627449811711,-0.006674382090800186,4.547853298199548,21.25359320834598,0.5105379572056252,0.003672621550704354,0.0014457304127365772,-0.0020063278331419574,0.000546747886612618,-0.0025728008169350397,1.1527849523393743e-05,1.1527849523393743e-05
1907.0,19.07,260.3743865470934,-25.742959008905096,0.069135072059198,13.918586895640296,0.08125288188435699,4.7886035164120715,25.456696910799778,0.40101315291905015,0.0036932745542903414,0.0017401602773381673,-0.0017089824005453718,0.006296978693491002,0.003176688019844428,0.0003115151622000804,0.0003115151622000804
