num,time,x,y,z,yaw,carv,ang,vel,acc,devDist,devAng,alHori,roll,rl,rr,fl,fr
0.0,0.0,2.971465477840387,-9.999993718910554,0.6811236500118136,5.906473577653713e-08,13.88888888888889,0.0,0.0,0.0,-0.015567517347213433,-8.854486801643922e-06,0.0002444433671580689,-0.0015896072133372782,0.001996927745750752,-0.001533068878525471,0.0,0.0
1.0,0.01,3.1102921155468954,-9.999994488123574,0.6811207312580628,3.7370912352046997e-06,13.873710069979452,-0.0033224745883202508,-0.5400425807563863,-52.35987599999999,-0.0024144540734294317,-1.0387691308034449e-05,-0.0011227380678227998,-0.00013569027672395134,0.0016843940196949322,-0.001612773162320853,-8.944367422747398e-06,-8.944367422747398e-06
2.0,0.02,3.2488672290132357,-9.999996114619258,0.6810994699577984,1.209989875128003e-05,13.84322224571845,-0.011864492955884112,-1.0636413407563854,-52.35987599999962,0.00034038291151397316,-1.4180291529623502e-05,-0.0021872288197739603,0.0011659787894063008,0.0010981269749479365,-0.0020830646991510326,-3.6713280317723195e-05,-3.6713280317723195e-05
3.0,0.03,3.3871123671434122,-9.999998335075782,0.6810423817331793,2.357975527138262e-05,13.80896446698987,-0.024781153087769684,-1.3490821652015355,1.2910941401788067,-0.011464573542635933,-1.9896361111511005e-05,-0.0026007706728024263,0.0017417249902974869,0.00028893832896240254,-0.002870872742415942,-7.773270567093409e-05,-7.773270567093409e-05
4.0,0.04,3.525009785642175,-10.000002157378999,0.6809351835511365,3.648571202240077e-05,13.774015851398824,-0.03663891581309829,-1.033682700903051,40.461999388256636,-0.034409665104937745,-2.8874156974991103e-05,-0.002762647876054452,0.001928103952296699,-0.00040830895870259834,-0.0036025092485456084,-0.0001128169273062023,-0.0001128169273062023
5.0,0.05,3.662559696289699,-10.0000097098574,0.6807734983459388,4.906954148403488e-05,13.739565155878205,-0.04471796438230018,-0.6548559144613283,38.95762880206684,-0.06186590255331437,-4.398998807330448e-05,-0.0028281621482386765,0.0019882008298634547,-0.0008306272729968873,-0.0041025713594025,-0.00013063863502961882,-0.00013063863502961882
6.0,0.06,3.7997713977566248,-10.000023642593682,0.6805605694953233,5.966114017732831e-05,13.706357704022011,-0.048310187254129056,-0.1497827831828894,52.35987599999999,-0.08837751614656375,-6.851350018127911e-05,-0.00285369304237138,0.001975300347294422,-0.0009459315647254798,-0.0043203505626496375,-0.00013272332337746446,-0.00013272332337746446
7.0,0.07,3.936660194827911,-10.000046494954121,0.6803031075908423,6.682838050038031e-05,13.674879875585477,-0.046666422525957964,0.37381597681710904,52.35987599999995,-0.10814847784372297,-0.00010474796763975468,-0.002873176773737012,0.0019195134977789282,-0.0007219762285239968,-0.004208030313269421,-0.00012004347337765447,-0.00012004347337765447
8.0,0.08,4.073244914743009,-10.000080163663453,0.6800078572308269,6.962199032521376e-05,13.645375660576516,-0.03998235530481269,0.8486015000415188,42.79464946297863,-0.11750350202975218,-0.00015354869363149855,-0.0028866688152890388,0.0018397207722338955,-0.00018438927797822906,-0.0037889830483804647,-9.642823160246439e-05,-9.642823160246439e-05
9.0,0.09,4.209545642276042,-10.000125497341305,0.6796801277839022,6.774638222545343e-05,13.61788140463888,-0.029267748379179778,1.2028285347220307,30.23509772934227,-0.1164387706687016,-0.0002136051145956047,-0.0028719265443896153,0.0017450503094106095,0.0005962029843172335,-0.003136354014126891,-6.683435349211597e-05,-6.683435349211597e-05
