0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.0016824979741632041,-5.708022586319155e-08,13.88888888888889,5.708022586319155e-08,0.0,0.0,0.0018067502503693348,-0.0012666015149851643,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,6.0,0.0,8.0,0.0
0.0005440607044113418,-3.984055502315113e-06,13.88179644001225,3.984055502315113e-06,0.08501277565956117,-0.3749239538126739,0.007140072525284097,0.004057065479536574,0.0003091234446259889,0.0003091234446259889,0.0,0.0,2.0,0.0,4.0,0.0,6.0,0.0,8.0,0.0
0.000753827065484392,-1.580629324788071e-05,13.85889911597805,1.580629324788071e-05,0.19515767097473147,-0.535277106646304,0.0138670239719578,0.01076008127905069,0.000714765444459581,0.000714765444459581,0.0,0.0,2.0,0.0,4.0,0.0,6.0,0.0,8.0,0.0
0.00232628351062826,-3.9940925011887935e-05,13.829143543538525,3.9940925011887935e-05,0.15674578249454504,-0.7766788544872761,0.011323881375892646,0.00820861259584081,0.0005885957717790083,0.0005885957717790083,0.0,0.0,2.0,0.0,4.0,0.0,6.0,0.0,8.0,0.0
0.004205638386132219,-8.08363722738078e-05,13.798143659291968,8.08363722738078e-05,0.25840154886245736,-0.980760224913473,0.01743405798408879,0.014181522790727843,0.0008533699250110369,0.0008533699250110369,0.0,0.0,2.0,0.0,4.0,0.0,6.0,0.0,8.0,0.0
0.003609615731461478,-0.00014336179853158702,13.767205108541498,0.00014336179853158702,0.15667666196823132,-1.2271185388386245,0.010970046985714521,0.007705633346810077,0.0005356283257422758,0.0005356283257422758,0.0,0.0,2.0,0.0,4.0,0.0,6.0,0.0,8.0,0.0
0.0011478786269416821,-0.00023009026600435435,13.736851723343698,0.00023009026600435435,0.07244439125061054,-1.2403238095692843,0.005628354264386942,0.002312650611484865,0.00024151926122039865,0.00024151926122039865,0.0,0.0,2.0,0.0,4.0,0.0,6.0,0.0,8.0,0.0
0.001747497222069524,-0.00033949062660897496,13.707522723499363,0.00033949062660897496,-0.06459023952484122,-1.036672787997051,-0.0030018185027225097,-0.006384741037957071,-0.00014097327694203963,-0.00014097327694203963,0.0,0.0,2.0,0.0,4.0,0.0,6.0,0.0,8.0,0.0
0.004812951304153956,-0.0004658757903951394,13.679393679524695,0.0004658757903951394,-0.05282409600913517,-0.6753702940292879,-0.002048192532365056,-0.005491653613335379,-0.00013838752245961535,-0.00013838752245961535,0.0,0.0,2.0,0.0,4.0,0.0,6.0,0.0,8.0,0.0
0.0020945643145918597,-0.0006025890868099739,13.652636477790459,0.0006025890868099739,-0.010765708610415418,-0.3514122454483026,0.0008757112235883574,-0.002636441771044256,-3.540939875319698e-05,-3.540939875319698e-05,0.0,0.0,2.0,0.0,4.0,0.0,6.0,0.0,8.0,0.0
