time,ang,vel,acc,x,y,yaw,carv,alHori,roll
0.45,-0.007140194,-0.015741233,-0.769655816,4.015083165,-1.999848913,0.000286548,2.147574469,0.002986293,-4.44E-05
0.46,-0.007182617,-0.025836533,-1.222091959,4.036459394,-1.999844635,0.00028781,2.130242043,0.001333179,-4.44E-05
0.47,-0.00722504,-0.040312743,-1.517939757,4.057682027,-1.999840214,0.000289029,2.116531847,-0.000934981,-4.41E-05
0.48,-0.007267463,-0.05530314,-1.377415817,4.078787405,-1.999835856,0.000290346,2.106406174,-0.003465153,-4.37E-05
0.49,-0.007309886,-0.062196665,-0.141806244,4.099810398,-1.999831797,0.000291926,2.099654883,-0.005533092,-4.35E-05
0.5,-0.007352309,-0.057052671,0.978306545,4.120783426,-1.999828244,0.000293908,2.096025866,-0.006594709,-4.36E-05
0.51,-0.007394732,-0.041556705,1.891547585,4.141736455,-1.999825321,0.000296375,2.095288524,-0.006446541,-4.40E-05
0.52,-0.007437155,-0.018593227,2.471228553,4.162697279,-1.999823045,0.000299332,2.097240061,-0.005088491,-4.46E-05
0.53,-0.007479578,0.008487432,2.843052575,4.183691744,-1.999821308,0.000302702,2.101695164,-0.002658698,-4.52E-05
0.54,-0.007522001,0.03617748,2.623407812,4.204743923,-1.9998199,0.000306325,2.108485207,0.000152644,-4.55E-05
0.55,-0.007564424,0.058354644,1.880186036,4.22587626,-1.999818554,0.000309987,2.117455557,0.003164358,-4.51E-05
0.56,-0.007606847,0.071559693,1.022864721,4.24710973,-1.999816975,0.000313432,2.128468489,0.005981494,-4.38E-05
0.57,-0.00764927,0.077619717,0.270751674,4.268464039,-1.999814886,0.000316371,2.141408178,0.008012694,-4.12E-05
0.58,-0.007691693,0.075070922,-0.582433753,4.289957789,-1.999812067,0.000318519,2.156167631,0.008824227,-3.75E-05
0.59,-0.007734116,0.06506051,-1.253326801,4.311608538,-1.999808412,0.000319633,2.172649415,0.008074777,-3.26E-05
0.6,-0.007745404,0.048263636,-1.988595915,4.33343295,-1.99980396,0.000319554,2.190770109,0.005593202,-2.68E-05
0.61,-0.007756692,0.025835344,-2.2702543,4.355446886,-1.999798899,0.000318238,2.210451551,0.002404474,-2.03E-05
0.62,-0.00776798,0.005334271,-1.875049118,4.377665437,-1.999793513,0.00031573,2.231621292,-0.001263589,-1.34E-05
0.63,-0.007779268,-0.010453807,-1.36878204,4.400103084,-1.999788133,0.000312144,2.254225047,-0.004739476,-6.63E-06
0.64,-0.007790556,-0.020449067,-0.760865345,4.422773729,-1.999783096,0.000307657,2.278198508,-0.007641236,-2.57E-07
0.65,-0.007801844,-0.024100427,-0.089127879,4.445690592,-1.99977869,0.000302491,2.303470506,-0.009505433,5.49E-06
0.66,-0.007813132,-0.021422461,0.484736307,4.468866172,-1.99977511,0.000296883,2.329961799,-0.010322233,1.06E-05
0.67,-0.00782442,-0.013931632,0.912800834,4.492312154,-1.99977245,0.000291064,2.357590169,-0.009839766,1.50E-05
0.68,-0.007835708,-0.002787346,1.221098164,4.516039553,-1.999770699,0.000285228,2.386296925,-0.008139903,1.90E-05
0.69,-0.007846996,0.010087198,1.296764356,4.540058904,-1.999769729,0.000279522,2.416033594,-0.005662375,2.28E-05
0.7,-0.007858283,0.022253194,1.151745409,4.564380326,-1.999769327,0.000274034,2.446763067,-0.002956049,2.70E-05
0.71,-0.007869571,0.032176094,0.861875288,4.589013649,-1.999769236,0.000268803,2.478455409,-0.000275551,3.20E-05
0.72,-0.007880859,0.038780422,0.527283996,4.613968398,-1.999769206,0.000263819,2.511077271,0.001798231,3.82E-05
0.73,-0.007892147,0.042450559,0.276406404,4.639253766,-1.99976903,0.000259028,2.54459286,0.00314499,4.58E-05
0.74,-0.007903435,0.044608558,0.207112895,4.66487859,-1.999768568,0.000254338,2.57896462,0.00372205,5.47E-05
0.75,-0.007874033,0.047299275,0.327261958,4.690851314,-1.999767755,0.000249621,2.614147829,0.003641466,6.48E-05
0.76,-0.00784463,0.051781637,0.542243697,4.717179694,-1.999766586,0.000244719,2.650046938,0.003070088,7.57E-05
0.77,-0.007815228,0.058771682,0.789147965,4.743870361,-1.9997651,0.000239462,2.686545456,0.002416031,8.66E-05
0.78,-0.007785825,0.067352762,0.887224811,4.770928856,-1.999763353,0.000233677,2.723541129,0.001907671,9.71E-05
0.79,-0.007756423,0.076418035,0.911516595,4.798359785,-1.999761387,0.000227201,2.760947557,0.001926428,0.000106407
0.8,-0.00772702,0.084878416,0.77448579,4.826166972,-1.999759209,0.000219891,2.798693719,0.002373769,0.00011419
0.81,-0.007697618,0.091000907,0.482753722,4.85435359,-1.999756775,0.000211628,2.836721253,0.00331837,0.000120186
0.82,-0.007668215,0.093152227,0.004941035,4.882922279,-1.999753993,0.000202323,2.874982441,0.004699302,0.000124332
0.83,-0.007638813,0.088554184,-0.785458484,4.91187523,-1.999750729,0.000191918,2.913437277,0.006188901,0.000126744
0.84,-0.007609411,0.079916688,-0.85637616,4.941214235,-1.999746826,0.000180387,2.952048527,0.007616084,0.00012766
0.85,-0.007580008,0.067745301,-1.508389668,4.970940718,-1.999742127,0.000167733,2.990783719,0.008746935,0.000127371
0.86,-0.007550606,0.050516816,-1.823910877,5.001055789,-1.999736508,0.000153993,3.029615054,0.009228004,0.000126221
0.87,-0.007521203,0.029523696,-2.284486029,5.031560271,-1.999729903,0.000139243,3.068516725,0.008838316,0.000124543
0.88,-0.007491801,0.004812023,-2.562397122,5.062454739,-1.999722323,0.000123602,3.10746652,0.007598744,0.000122626
0.89,-0.007462398,-0.020842586,-2.522790967,5.093739524,-1.999713868,0.000107229,3.146440999,0.005577989,0.000120672
0.9,-0.007393908,-0.043996432,-2.123771982,5.125414693,-1.999704712,9.03E-05,3.185409676,0.00304618,0.000118748
0.91,-0.007325417,-0.059117868,-1.004299825,5.157479736,-1.99969509,7.30E-05,3.22428892,0.000195859,0.000116776
0.92,-0.007256927,-0.063630356,-0.178530537,5.189933122,-1.999685272,5.56E-05,3.262972266,-0.002625827,0.000114549
0.93,-0.007188436,-0.061727661,0.489868616,5.2227723,-1.999675537,3.83E-05,3.301362803,-0.005189172,0.000111789
0.94,-0.007119946,-0.05163263,1.209158978,5.255993836,-1.999666149,2.11E-05,3.339380619,-0.007363682,0.000108275
0.95,-0.007051456,-0.038621041,1.444778487,5.289593568,-1.999657341,4.29E-06,3.376957694,-0.008975587,0.000103905
0.96,-0.006982965,-0.022217427,1.732836579,5.323566704,-1.999649294,-1.20E-05,3.414035649,-0.010060451,9.87E-05
0.97,-0.006914475,-0.003705968,1.919049542,5.357907906,-1.999642134,-2.78E-05,3.45056295,-0.010585222,9.28E-05
0.98,-0.006845984,0.016395013,2.05549258,5.392611351,-1.999635935,-4.28E-05,3.486493936,-0.010626345,8.64E-05
