time,ang,vel,acc,x,y,yaw,carv,alHori,roll
6.73,-0.074057877,6.831319712,52.359876,73.70714765,-10.02232037,-0.010775934,14.03830266,-0.383210987,-0.00250612
6.74,-0.070675786,7.354918472,52.359876,73.84750455,-10.02401855,-0.011058488,14.0354232,-0.361863326,-0.00240359
6.75,-0.067293695,7.878517232,52.359876,73.98783239,-10.02575241,-0.01133012,14.03257472,-0.339414307,-0.002294045
6.76,-0.063911605,7.931106437,-24.90533363,74.12813149,-10.02751972,-0.011590131,14.02975716,-0.316649993,-0.002176746
6.77,-0.060529514,7.875962644,14.72096671,74.26840219,-10.02931819,-0.011837887,14.02697032,-0.294937396,-0.002051785
6.78,-0.057147424,8.047661534,20.23910583,74.40864481,-10.03114568,-0.012072861,14.02421418,-0.27417704,-0.001919667
6.79,-0.053765333,8.160431258,7.239040733,74.5488597,-10.03300008,-0.012294621,14.02149352,-0.253595542,-0.001780949
6.8,-0.049417577,8.346506596,8.262377453,74.68904726,-10.03487935,-0.012502804,14.01880918,-0.232760206,-0.00163649
6.81,-0.045069821,8.351938469,13.93991973,74.82920784,-10.03678139,-0.012697072,14.01615814,-0.21088738,-0.001487192
6.82,-0.040722066,8.500649055,20.02354282,74.9693418,-10.03870402,-0.01287709,14.01353675,-0.188484424,-0.001333969
6.83,-0.03637431,8.632238268,9.679588852,75.10944943,-10.04064503,-0.013042528,14.01094135,-0.165335721,-0.001177474
6.84,-0.032026554,8.726646,0,75.24953101,-10.04260209,-0.013193061,14.00836848,-0.14163967,-0.001018262
6.85,-0.027678798,8.726646,8.88E-13,75.38958678,-10.04457287,-0.013328392,14.00581502,-0.117736219,-0.000856882
6.86,-0.023331042,8.726646,-8.88E-13,75.52961694,-10.04655497,-0.013448268,14.00327835,-0.093823859,-0.000693919
6.87,-0.018983286,8.726646,0,75.66962168,-10.04854602,-0.013552487,14.00075627,-0.069900254,-0.000529933
6.88,-0.014635531,8.726646,0,75.80960118,-10.05054364,-0.013640896,13.99824705,-0.04596479,-0.000365468
