time,ang,vel,acc,x,y,yaw,carv,alHori,roll
9.52,-0.749393861,6.202141691,4.502709345,112.1862698,-8.821774058,-0.03613334,13.68616538,-4.065801551,-0.028416472
9.53,-0.742576997,6.285357031,16.90719759,112.322978,-8.828273772,-0.038697542,13.6862106,-4.003772896,-0.028004886
9.54,-0.735760132,6.503828002,25.02215094,112.4596673,-8.835172908,-0.041250291,13.68630761,-3.937853925,-0.027555978
9.55,-0.728943268,6.746864494,22.46810182,112.5963375,-8.842464872,-0.043790844,13.68645572,-3.868789262,-0.027074909
9.56,-0.722126404,6.989002585,23.33414837,112.7329883,-8.850142752,-0.046318373,13.68665389,-3.797481584,-0.026566354
9.57,-0.71530954,7.214280204,22.13097301,112.8696196,-8.858199409,-0.048831986,13.6869007,-3.724863081,-0.026034682
9.58,-0.708492676,7.423396449,20.33587417,113.0062311,-8.866627582,-0.051330758,13.68719428,-3.651830334,-0.025484077
9.59,-0.701675812,7.614912528,18.43162029,113.1428229,-8.875419966,-0.053813758,13.68753254,-3.57913758,-0.024918632
9.6,-0.691766144,7.787509067,16.40115356,113.2793949,-8.884569279,-0.056280052,13.68791483,-3.505655856,-0.024342344
9.61,-0.681856476,7.9385013,14.1592027,113.4159471,-8.894068152,-0.058728586,13.6883423,-3.430601038,-0.023758851
9.62,-0.671946808,8.066750458,11.8971197,113.5524796,-8.903909082,-0.061158144,13.68881364,-3.354999303,-0.023171316
9.63,-0.66203714,8.172223436,9.670511052,113.6889925,-8.914084518,-0.063567392,13.68932714,-3.279731919,-0.022582506
9.64,-0.652127472,8.255560077,7.516625478,113.825486,-8.924586947,-0.065954926,13.68988086,-3.205516143,-0.021994913
9.65,-0.642217804,8.317997476,5.45378288,113.9619603,-8.935408964,-0.06831932,13.69047272,-3.132911555,-0.021410851
9.66,-0.632308136,8.361298357,3.585720851,114.0984155,-8.946543331,-0.070659158,13.69110058,-3.062316911,-0.020832539
9.67,-0.622398468,8.387457262,1.950031749,114.234852,-8.957983015,-0.072973065,13.69176228,-2.993870157,-0.020262134
9.68,-0.6124888,8.398715538,0.574655659,114.37127,-8.969721206,-0.075259742,13.69245576,-2.927577579,-0.019701734
9.69,-0.602579132,8.396964198,-0.638929462,114.5076696,-8.981751316,-0.077517989,13.69317895,-2.863759844,-0.019153343
9.7,-0.590824354,8.383370482,-1.810213791,114.6440512,-8.994066991,-0.079746693,13.69393056,-2.80126426,-0.018618819
9.71,-0.579069576,8.357576491,-3.051345734,114.7804149,-9.00666201,-0.081944749,13.69471038,-2.739171849,-0.01809967
9.72,-0.567314798,8.320323958,-4.175781632,114.916761,-9.019530202,-0.084111022,13.69551724,-2.677767194,-0.017596956
9.73,-0.555560019,8.272775022,-5.159330271,115.05309,-9.032665472,-0.086244381,13.69634989,-2.61725754,-0.017111325
9.74,-0.543805241,8.216127951,-6.005037405,115.189402,-9.046061815,-0.088343716,13.69720708,-2.557815937,-0.016643072
9.75,-0.532050463,8.149258621,-7.430098917,115.3256974,-9.059713336,-0.090407965,13.69808751,-2.499536295,-0.016192202
9.76,-0.520295685,8.064790239,-8.706323595,115.4619766,-9.073614256,-0.09243613,13.6989899,-2.442474369,-0.015758503
9.77,-0.508540906,7.976287399,-8.899345536,115.5982398,-9.087758917,-0.094427289,13.69991298,-2.386629078,-0.015341608
9.78,-0.496786128,7.887813571,-8.828815749,115.7344875,-9.102141785,-0.096380611,13.70085555,-2.331927504,-0.014941018
9.79,-0.48503135,7.799714417,-8.804098121,115.87072,-9.116757438,-0.098295353,13.70181647,-2.278269878,-0.014556101
9.8,-0.472639166,7.711877683,-8.800341404,116.0069376,-9.131600557,-0.100170862,13.70279487,-2.22513848,-0.014186109
9.81,-0.460246982,7.623638914,-8.848605854,116.1431408,-9.146665872,-0.102006542,13.70379019,-2.172111602,-0.013830118
9.82,-0.447854798,7.534855733,-8.887410621,116.2793298,-9.161948127,-0.103801839,13.7048017,-2.119219303,-0.01348702
9.83,-0.435462614,7.448615012,-8.295492402,116.4155052,-9.177442079,-0.105556245,13.70582863,-2.066455194,-0.01315556
9.84,-0.42307043,7.371184719,-7.389498105,116.5516674,-9.193142499,-0.107269302,13.70687027,-2.013823244,-0.012834379
9.85,-0.410678246,7.291882127,-9.09065104,116.6878167,-9.20904417,-0.108940604,13.70792592,-1.961296352,-0.012522048
9.86,-0.398286062,7.189620448,-10.35206779,116.8239537,-9.225141882,-0.110569801,13.70899488,-1.90888163,-0.012217134
9.87,-0.385893878,7.086251378,-10.2167653,116.9600788,-9.24143044,-0.1121566,13.71007652,-1.856543287,-0.011918255
9.88,-0.373501694,6.986898336,-9.740992202,117.0961925,-9.257904654,-0.113700759,13.71117023,-1.804174929,-0.011624054
9.89,-0.36110951,6.892785557,-9.191720872,117.2322953,-9.27455933,-0.115202086,13.7122755,-1.751598193,-0.011333219
9.9,-0.348887061,6.812543522,-7.501797561,117.3683878,-9.291389251,-0.11666042,13.71339179,-1.698822424,-0.011044503
9.91,-0.336664613,6.736719329,-7.437447285,117.5044704,-9.308389184,-0.11807564,13.71451856,-1.645828359,-0.010756731
9.92,-0.324442164,6.662715075,-7.373037359,117.6405437,-9.325553872,-0.119447661,13.71565533,-1.592529497,-0.01046882
9.93,-0.312219716,6.592462943,-6.402090091,117.7766083,-9.342878027,-0.120776423,13.71680163,-1.538850104,-0.010179784
9.94,-0.299997267,6.546949032,-3.405873397,117.9126648,-9.360356325,-0.122061887,13.71795706,-1.484711636,-0.009888726
9.95,-0.287774819,6.525308412,-1.491967316,118.0487138,-9.377983394,-0.123304028,13.71912122,-1.430004543,-0.009594817
9.96,-0.27555237,6.51593897,-0.685818718,118.1847559,-9.395753809,-0.124502824,13.72029369,-1.374672853,-0.009297291
9.97,-0.263329922,6.509980216,-0.608570017,118.3207918,-9.413662079,-0.125658251,13.72147409,-1.318703456,-0.008995457
9.98,-0.251107473,6.502062852,-0.95174139,118.4568221,-9.431702655,-0.126770283,13.72266197,-1.262139105,-0.008688716
9.99,-0.238885025,6.489301852,-1.509572732,118.5928476,-9.449869928,-0.127838892,13.72385691,-1.205008671,-0.008376575
10,-0.227339914,6.470510565,-2.120841865,118.728869,-9.468158238,-0.128864053,13.72505839,-1.147826168,-0.008058671
10.01,-0.215794803,6.445923679,-2.680672637,118.864887,-9.486561925,-0.129845784,13.72626576,-1.090972616,-0.007734842
10.02,-0.204249691,6.416037647,-3.186722218,119.0009022,-9.50507536,-0.130784159,13.72747852,-1.03431621,-0.007405164
10.03,-0.19270458,6.381430976,-3.634050871,119.1369155,-9.523692933,-0.131679306,13.7286962,-0.97772323,-0.007069913
10.04,-0.181159469,6.342733858,-4.018332501,119.2729276,-9.542409042,-0.132531388,13.72991833,-0.921064683,-0.006729511
10.05,-0.169614358,6.300532914,-4.347779427,119.4089392,-9.561218079,-0.133340603,13.73114451,-0.864279462,-0.006384476
10.06,-0.158069247,6.255296081,-4.636404803,119.5449511,-9.580114428,-0.134107169,13.73237431,-0.807312386,-0.006035381
10.07,-0.146524136,6.207360353,-4.895439371,119.6809641,-9.599092454,-0.134831322,13.73360734,-0.750110666,-0.005682814
10.08,-0.134979025,6.156945064,-5.137335984,119.8169789,-9.618146499,-0.135513308,13.73484318,-0.692670295,-0.005327348
10.09,-0.123433914,6.104168135,-5.370513852,119.9529963,-9.637270883,-0.136153375,13.73608143,-0.63499783,-0.004969526
10.1,-0.112551874,6.049204019,-5.569691778,120.0890171,-9.656459905,-0.13675178,13.73732169,-0.577559099,-0.004609863
10.11,-0.101669834,5.992654506,-5.708440658,120.2250421,-9.675707894,-0.137308813,13.73856353,-0.520724003,-0.004248908
10.12,-0.090787794,5.93485167,-5.826293714,120.3610721,-9.69500923,-0.137824814,13.73980653,-0.464375683,-0.003887277
10.13,-0.079905754,5.875986559,-5.924272534,120.4971079,-9.714358343,-0.138300157,13.74105032,-0.408397583,-0.003525625
10.14,-0.069023714,5.816181443,-6.017820743,120.6331502,-9.733749697,-0.13873524,13.74229453,-0.352729979,-0.003164606
10.15,-0.058141675,5.755437194,-6.112717024,120.7691998,-9.753177789,-0.139130474,13.74353881,-0.297325857,-0.002804835
10.16,-0.047259635,5.693714682,-6.212882477,120.9052576,-9.772637139,-0.139486273,13.74478282,-0.242165613,-0.002446867
10.17,-0.036377595,5.630945488,-6.320700455,121.0413242,-9.79212229,-0.139803046,13.74602621,-0.187252765,-0.002091187
10.18,-0.025495555,5.567047536,-6.436983966,121.1774004,-9.811627809,-0.140081191,13.74726866,-0.132604781,-0.001738201
10.19,-0.014613515,5.501938478,-6.561109247,121.313487,-9.831148288,-0.140321094,13.74850985,-0.078268155,-0.001388239
10.2,-0.003102563,5.435429999,-6.721358899,121.4495848,-9.850678342,-0.140523117,13.7497494,-0.023872002,-0.001041557
10.21,0.008408388,5.366896354,-6.945792188,121.5856945,-9.870212577,-0.140687566,13.75098691,0.030851639,-0.000698271
10.22,0.019919339,5.295934229,-7.199827624,121.7218169,-9.889745567,-0.140814675,13.752222,0.08574613,-0.000358322
10.23,0.031430291,5.222302718,-7.474424272,121.8579526,-9.909271868,-0.140904609,13.75345428,0.140684195,-2.15E-05
10.24,0.042941242,5.145828681,-7.763593076,121.9941026,-9.928786029,-0.140957471,13.75468338,0.195516951,0.000312377
10.25,0.054452193,5.066418445,-8.059670798,122.1302675,-9.948282605,-0.140973311,13.75590892,0.250119455,0.000643681
10.26,0.065963145,4.984058326,-8.353218334,122.266448,-9.967756176,-0.140952135,13.75713051,0.304379423,0.000972675
10.27,0.077474096,4.898819848,-8.636661628,122.4026449,-9.987201352,-0.140893912,13.75834779,0.358234217,0.001299612
10.28,0.088985047,4.810817281,-8.905970982,122.5388588,-10.00661278,-0.140798585,13.7595604,0.411624406,0.001624699
10.29,0.100495999,4.720357166,-9.134670086,122.6750906,-10.02598517,-0.140666073,13.76076802,0.464524798,0.001948086
10.3,0.111306687,4.627870482,-9.310286372,122.8113408,-10.04531325,-0.14049629,13.7619704,0.516494705,0.002269848
10.31,0.122117375,4.534155431,-9.406029097,122.9476101,-10.06459187,-0.140289178,13.76316751,0.5672245,0.002589928
10.32,0.132928063,4.439713549,-9.466162489,123.0838992,-10.08381601,-0.140044734,13.76435914,0.616929835,0.002908114
10.33,0.143738751,4.344810128,-9.505379854,123.2202087,-10.10298071,-0.139762999,13.76554509,0.665807958,0.00322409
10.34,0.154549439,4.249591978,-9.533064141,123.3565391,-10.12208113,-0.139444051,13.76672518,0.714070333,0.00353748
10.35,0.165360127,4.15410553,-9.558894985,123.4928911,-10.14111248,-0.139088,13.76789921,0.761873763,0.00384791
10.36,0.176170815,4.05832939,-9.589776746,123.6292652,-10.16007,-0.13869498,13.76906698,0.809362486,0.004155051
10.37,0.186981503,3.962185528,-9.631179464,123.7656619,-10.17894899,-0.138265144,13.7702283,0.856650006,0.004458646
10.38,0.197792192,3.865547765,-9.687696146,123.9020818,-10.19774473,-0.137798655,13.77138296,0.903818621,0.004758528
10.39,0.20860288,3.76824841,-9.763012044,124.0385254,-10.21645254,-0.13729569,13.77253074,0.950932365,0.005054624
10.4,0.218617897,3.670234133,-9.81981351,124.1749933,-10.23506774,-0.136756432,13.7736716,0.997534886,0.00534695
10.41,0.228632915,3.571987012,-9.82580967,124.3114858,-10.25358569,-0.136181112,13.77480573,1.043279024,0.005635523
10.42,0.238647933,3.47370461,-9.827108434,124.4480035,-10.27200186,-0.135570019,13.77593307,1.088379098,0.005920316
10.43,0.24866295,3.375371804,-9.835723048,124.5845469,-10.29031173,-0.134923488,13.77705352,1.132996012,0.006201288
10.44,0.258677968,3.276897209,-9.857560693,124.7211163,-10.30851087,-0.134241885,13.77816696,1.17726638,0.006478412
10.45,0.268692986,3.178134105,-9.895948239,124.8577123,-10.32659487,-0.133525595,13.77927326,1.221293067,0.006751697
