time,x,y,yaw,carv,ang,vel,acc,devDist,devAng,alHori,roll,rl,rr,fl,fr
0.0,2.197600431196119,-10.000002549105277,-6.982443674618021e-10,0.0,0.0,0.0,0.0,0.0,4.444199969853793e-06,-0.0027512735086124705,0.0027447786454674033,-0.0011559601304107164,0.0011741121136933273,0.0,0.0
0.01,2.197592563682288,-10.000002268626389,-5.094414808449625e-08,0.0016222272534153215,-2.4609069581372525e-10,-6.747180401652137e-08,-1.3661250075306447e-05,-0.0011280961162772017,4.905488133096078e-06,-0.0027244352570797337,0.0027178467533627406,-0.001000673475574728,0.0010192097664534342,8.130919006093852e-15,8.130919006093852e-15
0.02,2.1975742991666394,-10.000001458552351,-1.7744752965793594e-07,0.0028957507211561056,-1.8064752487180194e-09,-2.3481241903050685e-07,-1.8794476647521793e-05,-0.000555169049228716,6.198358191577973e-06,-0.0027064530088990305,0.002700010025389555,-0.0009351475076262831,0.0009539785678156171,1.333962654282709e-13,1.333962654282709e-13
0.03,2.1975461851609066,-10.000000135148056,-3.742418608358328e-07,0.004130639488964597,-5.2782466642902914e-09,-4.439644346086291e-07,-2.242832312754816e-05,-2.2039137059667174e-05,8.274949869388625e-06,-0.002694583122316059,0.0026881815665964837,-0.0009108666786153325,0.0009298906180036006,5.926858650969464e-13,5.926858650969464e-13
0.04,2.1975085240863845,-9.99999834583052,-6.442832856655001e-07,0.005443833098650825,-1.1031365810999795e-08,-6.848902959191872e-07,-2.410127384261996e-05,0.0008044763681736475,1.0904791171603679e-05,-0.0026874972768494865,0.0026811090707149865,-0.0009020445101259177,0.0009211992189618,1.6810265304778713e-12,1.6810265304778713e-12
0.05,2.197461281265823,-9.999996167672121,-9.916466956729182e-07,0.0068649218072509115,-1.910157418642995e-08,-8.986824136226894e-07,-1.874913186512741e-05,0.001781625249830264,1.376336726268545e-05,-0.002683713221184557,0.0026772713757302878,-0.0008987632132593183,0.0009180008290276434,3.744000962482776e-12,3.744000962482776e-12
0.06,2.1974043168428627,-9.999993709163109,-1.4097016534259788e-06,0.008337485478624318,-2.8904459971392127e-08,-1.0286646072731053e-06,-7.417422989528936e-06,0.0026120117095483303,1.6510453557405022e-05,-0.0026812973615386354,0.0026747218154400195,-0.0008960517436705008,0.0009153011078575553,6.989609557806362e-12,6.989609557806362e-12
0.07,2.19733775175441,-9.999991093806983,-1.8810074973461748e-06,0.009764332946078277,-3.942871642138625e-08,-1.0643383605592043e-06,-1.4595427514142494e-06,0.003257887414870618,1.8852243344265825e-05,-0.0026784402829129477,0.002671654056278359,-0.000891983679798501,0.0009112318038679106,1.1304799353428092e-11,1.1304799353428092e-11
0.08,2.197261912435597,-9.999988443743733,-2.390758512492795e-06,0.011079258046134365,-5.0041051314760465e-08,-1.0517630658956243e-06,3.2395920778997877e-06,0.00375301414769677,2.0570825219183885e-05,-0.002674298722808239,0.0026672276869726154,-0.0008867352694926321,0.0009059851406348681,1.6427403704568285e-11,1.6427403704568285e-11
0.09,2.1971771981230246,-9.999985867483577,-2.9251497388643327e-06,0.012248932568395172,-6.028234877243341e-08,-9.947153994708436e-07,7.727725874874526e-06,0.004046532932340828,2.1537910520773576e-05,-0.0026686745077963404,0.002661254119583062,-0.000880940541242262,0.0009001926037444697,2.2031097944592842e-11,2.2031097944592842e-11
0.1,2.1970840775296328,-9.999983451184486,-3.4685039212999844e-06,0.013268001275041184,-6.971168318250202e-08,-8.944409353601947e-07,1.1826717002144646e-05,0.004111262915905975,2.170753367949034e-05,-0.002661805301146316,0.0026539957820476685,-0.0008751712739087332,0.0008944201805402555,2.775009271362319e-11,2.775009271362319e-11
0.11,2.1969830761386113,-9.999981253328576,-4.0024065102175665e-06,0.014148004835639884,-7.793188706752298e-08,-7.582882563870373e-07,1.4876618497003397e-05,0.003946090467668784,2.110256915242147e-05,-0.0026541211737894322,0.0026459159785407783,-0.0008698058343562364,0.0008890443773570179,3.3229825605694474e-11,3.3229825605694474e-11
0.12,2.196874745374678,-9.999979302694982,-4.506529626286449e-06,0.014905420576670624,-8.35097041584311e-08,-4.44599593622893e-07,-1.4628999584004832e-06,0.0035716797219371103,1.980258382973458e-05,-0.002646024882368929,0.0026374458474965503,-0.0008650381871490457,0.0008842621601003381,3.772195055296226e-11,3.772195055296226e-11
0.13,2.196759825438562,-9.999977599271437,-4.960674863155044e-06,0.015491635667571297,-9.05274902155176e-08,-9.194313598655052e-07,-3.360246290691795e-05,0.0024659818108612504,1.7933188678981455e-05,-0.0026355409960548658,0.0026266049013864913,-0.0008610531448370531,0.0008802660727385321,4.238884334242693e-11,4.238884334242693e-11
0.14,2.1966425445202593,-9.999976113510483,-5.350660805564715e-06,0.01555368388110556,-1.010835832004538e-07,-1.138443772465035e-06,-9.199908378955266e-06,0.0007361081428104917,1.5661698735619553e-05,-0.0025977162568533094,0.0025884407810314093,-0.0008599552565936914,0.0008791603138903595,4.765420969047178e-11,4.765420969047178e-11
0.15,2.196531094923725,-9.999974784647781,-5.674355780349524e-06,0.014989622982562104,-1.1220126673953492e-07,-1.0566468848908923e-06,1.6734841331840444e-05,-0.0011638512073032137,1.3189589922248981e-05,-0.0025358850801314703,0.002526413706127816,-0.0008645032892892087,0.0008836952197019597,5.128567450997757e-11,5.128567450997757e-11
0.16,2.1964343756600733,-9.999973533764805,-5.942854245404001e-06,0.013869677166858224,-1.1956603115723452e-07,-3.112600375851797e-07,9.010742059280738e-05,-0.0036176197507124443,1.0729090395114429e-05,-0.002461372796708711,0.002451841804714174,-0.0008760661433238082,0.0008952405187348021,5.1112605558057856e-11,5.1112605558057856e-11
0.17,2.1963614409139804,-9.99997227773829,-6.179600227740875e-06,0.01247251427222689,-1.2156665302278437e-07,-2.974863495806701e-07,-1.7536741617187172e-05,-0.008039271622852376,8.474858226459823e-06,-0.0023814106552626064,0.002371913313132101,-0.0008941625575783706,0.0009133402472268258,4.68153028535329e-11,4.68153028535329e-11
0.18,2.196321140314515,-9.999970937823669,-6.418939469102098e-06,0.011386757793888853,-1.2439316400219748e-07,-2.7208285320439965e-07,3.546567794082469e-07,-0.026969068598077746,6.5835673709112626e-06,-0.002300958590065855,0.002291539800558197,-0.000912108995112228,0.0009314252705740792,4.35293711124528e-11,4.35293711124528e-11
0.19,2.19632269418295,-9.999969451863171,-6.691535422121456e-06,0.011604929738799277,-1.2660711302876834e-07,-1.6683835448492815e-07,1.0748727367148328e-05,-0.032847011184512144,5.155517081765012e-06,-0.002221336621420414,0.0022119044210512652,-0.0009225179194205602,0.0009419172687331496,4.448220084238042e-11,4.448220084238042e-11
0.2,2.196375570565566,-9.999967781900427,-7.014109379062004e-06,0.014027636377329695,-1.2754532901766402e-07,-9.837485571618505e-09,2.366345373436986e-05,-0.011731535806638499,4.227351334497613e-06,-0.002143287233145261,0.002133678514339724,-0.0009296667267513901,0.000949104376907175,5.3410548468570384e-11,5.3410548468570384e-11
0.21,2.196489115053784,-9.99996593006258,-7.3923131049635496e-06,0.01861843465554312,-1.2598707538536556e-07,3.1637661277171994e-07,4.021965605503418e-05,-0.008204529795319594,3.753078340723714e-06,-0.0020672972539296105,0.002057282465160759,-0.0009358348264899804,0.0009553244434822753,6.989014197001204e-11,6.989014197001204e-11
0.22,2.196672509618685,-9.999963956567225,-7.82301287321455e-06,0.024883307930541287,-1.203092632243855e-07,7.908411846135855e-07,5.228322973354663e-05,-0.007385738347733412,3.591925906414583e-06,-0.0019936842993937727,0.001982985426610016,-0.0009420645855816299,0.0009616438608929095,8.96891225406772e-11,8.96891225406772e-11
0.23,2.196934759130227,-9.999961983200942,-8.295755740943681e-06,0.03245291388539739,-1.093703602096273e-07,1.3494845607083108e-06,5.775881623536711e-05,-0.007468491851041243,3.519032956291036e-06,-0.0019225703435832634,0.0019109120861402697,-0.0009488070530182206,0.0009685051411669862,1.0725353967050441e-10,1.0725353967050441e-10
0.24,2.1972846832331414,-9.999960173828626,-8.794132239465825e-06,0.041123318744027325,-9.267779623513867e-08,1.9303747725999375e-06,5.7670060096030645e-05,-0.007595560608821131,3.2707863799731273e-06,-0.0018540141921212097,0.0018412043210289213,-0.0009562827287061359,0.0009760814687103598,1.1645618054712023e-10,1.1645618054712023e-10
0.25,2.197730905409715,-9.999958687586622,-9.296825131906007e-06,0.050780559246606086,-7.026919495358654e-08,2.4892460731591024e-06,5.406383352347142e-05,-0.00709456304159471,2.6273383294275452e-06,-0.001788098063792109,0.0017741113969888614,-0.000964619157792863,0.0009844135869348347,1.1085861512064888e-10,1.1085861512064888e-10
0.26,2.1982811818980976,-9.999957616525553,-9.778242590672565e-06,0.06112847176703521,-4.251819490600857e-08,2.9983353245169764e-06,4.689136118017131e-05,-0.0056317899569829554,1.5095892321045442e-06,-0.001737852680618966,0.0017230665746030417,-0.0009736741261976142,0.0009932593286813395,8.372417391213752e-11,8.372417391213752e-11
0.27,2.1989383511349403,-9.999956944510908,-1.0205861145545954e-05,0.0716731237133122,-1.0296884933849218e-08,3.38421967063061e-06,3.3298949107074744e-05,-0.0034552919646576134,3.3203461924966637e-08,-0.0017134645123976387,0.0016984755077121912,-0.0009830695698266668,0.0010021801717728146,2.9569106524128825e-11,2.9569106524128825e-11
0.28,2.1997051931944838,-9.999956545946251,-1.0549622312198606e-05,0.08267452666742899,2.5384962805083296e-08,3.726997608848811e-06,3.788578370678192e-05,-0.001137757926861958,-1.5173875658339715e-06,-0.0016865723206873132,0.0016715885521295497,-0.000993301429417935,0.0010117049654422882,-5.406492891500608e-11,-5.406492891500608e-11
0.29,2.2005873829350984,-9.999956240654399,-1.0802557466357934e-05,0.09439338576193122,6.514967032642055e-08,4.214436958723191e-06,5.9579887566693597e-05,0.0001931024305442635,-2.8000635859618953e-06,-0.0016464596370479097,0.0016314089607580076,-0.0010044797816446576,0.001022081948521393,-1.7382002285905677e-10,-1.7382002285905677e-10
0.3,2.20159300726257,-9.999955904676865,-1.0988219302900006e-05,0.10703060193113588,1.1120523681802443e-07,4.970274443867758e-06,8.907234394919422e-05,-0.00013022089229829467,-3.595071468472001e-06,-0.0015918296337905306,0.001576316715864806,-0.001016466210165746,0.0010333424314212213,-3.438160563285354e-10,-3.438160563285354e-10
0.31,2.2027317682718377,-9.999955552269272,-1.1155094619128183e-05,0.12069931591434449,1.6643694991142195e-07,6.0154325411375245e-06,0.00011590186813408396,-0.0014797149899009319,-3.929068028702838e-06,-0.0015266609667595184,0.0015101556652615178,-0.0010290185912673702,0.0010453116477811546,-5.857916322358968e-10,-5.857916322358968e-10
0.32,2.2040139863579786,-9.999955303699412,-1.1361385363360822e-05,0.13541512211304377,2.3333600584424445e-07,7.258449307769056e-06,0.0001279311113220731,-0.0022866602746961268,-4.019566435525608e-06,-0.0014572372617046787,0.0014394410867730753,-0.0010418876782378617,0.00105762446827004,-9.266715151664457e-10,-9.266715151664457e-10
0.33,2.2054496988202614,-9.999955251341449,-1.165075733920887e-05,0.15111760714697545,3.2037422158479156e-07,1.1663878560260798e-05,0.0011274823214557073,-0.0015808153423166747,-4.055817711660481e-06,-0.0013894987550462643,0.0013705014961963842,-0.0010548478303825089,0.0010698337250189497,-1.4128754237805685e-09,-1.4128754237805685e-09
0.34,2.2070481103824795,-9.999955355596391,-1.202624169836529e-05,0.16770971047922148,5.244377297713764e-07,2.8135425825582936e-05,0.0017346418212680576,-0.00016548301695197543,-4.020935725194666e-06,-0.0013273285157780366,0.001307330365242674,-0.001067652904878538,0.0010815820515915455,-2.5222293931379707e-09,-2.5222293931379707e-09
0.35000000000000003,2.2088174358474513,-9.999955495367368,-1.244330588670268e-05,0.185092083873981,9.139317935972407e-07,4.8580728879206305e-05,0.0022311436236896803,0.0002442531378579752,-3.7540514361969544e-06,-0.0012721219491248236,0.0012510228524593586,-0.0010799992340702717,0.001092712736276026,-4.856231019960811e-09,-4.856231019960811e-09
0.36,2.210764993474053,-9.999955622869807,-1.283883751134771e-05,0.20318021476652648,1.5316356332705807e-06,7.342967084037674e-05,0.0027689236010543833,-0.0007356017839645157,-3.1823893338964183e-06,-0.0012235794996229717,0.0012009874402546053,-0.00109158896949277,0.0011032008398084196,-8.987682939324447e-09,-8.987682939324447e-09
0.37,2.2128973748780494,-9.999955822275629,-1.3178047962787579e-05,0.22190661251184465,2.437246880947058e-06,0.00010611643163254391,0.0037634669695318034,-0.0015328902994114837,-2.425310709054855e-06,-0.0011803845824017623,0.0011560968169221767,-0.001102266549467928,0.0011129883828255496,-1.5699941390407603e-08,-1.5699941390407603e-08
0.38,2.21522058961954,-9.99995618378678,-1.3471141196508436e-05,0.24121667461730914,3.7332582790649135e-06,0.00015068569987045622,0.005003749859171232,-0.0008985788956720063,-1.628213463492765e-06,-0.0011410798230957386,0.0011153705258465884,-0.0011120449398809567,0.001121929825700228,-2.6239868783874508e-08,-2.6239868783874508e-08
0.39,2.217740167086139,-9.99995667406746,-1.3741701536517298e-05,0.26106563563635243,5.537234590224088e-06,0.00020612023848181032,0.005961760097217983,0.0002411958966167276,-7.756824989921104e-07,-0.0011046554224712476,0.0010778940508649043,-0.0011208027563500932,0.001129751015315816,-4.2277510979241356e-08,-4.2277510979241356e-08
0.4,2.220461242918852,-9.999957196618698,-1.4004525732149584e-05,0.2814166193656564,7.944265529264558e-06,0.0002700326586256874,0.006676756211191806,0.00042738636358384454,2.375908650993529e-07,-0.0010704443449688383,0.0010426584719074425,-0.001127980317904941,0.0011359854547894252,-6.562878566345253e-08,-6.562878566345253e-08
0.41000000000000003,2.2233885899454457,-9.999957719294738,-1.4265074273866224e-05,0.3022329634913936,1.1079307981934657e-05,0.0003547446727655765,0.010169082315218032,4.701560388412898e-05,1.4318700719098275e-06,-0.001038298016171836,0.0010092785499269516,-0.0011337749573067835,0.0011410468354705837,-9.853400815104887e-08,-9.853400815104887e-08
0.42,2.2265266458191766,-9.999958270354997,-1.4536473476847469e-05,0.32348323425199166,1.521284064315564e-05,0.000462461907788568,0.01114742375064522,1.827694739554034e-05,2.732713173382907e-06,-0.0010077218101840837,0.000977449214735147,-0.0011386715220923216,0.0011454564535441278,-1.4509831057011049e-07,-1.4509831057011049e-07
0.43,2.229879580420486,-9.99995885689031,-1.4844051072486574e-05,0.34514306013336293,2.0462093148406572e-05,0.0005759808529071215,0.011235613974535439,0.0004296739678229843,4.077331779244763e-06,-0.0009781142908147776,0.0009467546073573597,-0.001142952574632995,0.0011494024678734961,-2.0877936489400428e-07,-2.0877936489400428e-07
0.44,2.2334513512354,-9.999959440899982,-1.520304866378601e-05,0.36719236637502667,2.6815771548955703e-05,0.0006816113168603955,0.009756260253696167,0.0007740973311033334,5.462585994888674e-06,-0.0009491088825338289,0.0009167406129911553,-0.0011466500175066378,0.0011528518891519399,-2.9198559106956825e-07,-2.9198559106956825e-07
0.45,2.2372457292727552,-9.999959981066478,-1.5602728597571867e-05,0.38961271156431976,3.411341287029962e-05,0.000765203934047129,0.007159223018309939,0.0007691812128527546,6.900475433031219e-06,-0.0009206105900017048,0.0008871500058800541,-0.0011496886881339765,0.0011557447682694717,-3.9543607512380816e-07,-3.9543607512380816e-07
0.46,2.241266308793947,-9.999960467296072,-1.601581258461834e-05,0.41238644647591627,4.2106684500190625e-05,0.0008245164259613445,0.005285533198245263,0.0005814942382448073,8.367704581833056e-06,-0.0008926244725851375,0.0008579801670804213,-0.0011520381758973598,0.0011580897177372732,-5.182516870580074e-07,-5.182516870580074e-07
0.47000000000000003,2.2455165160289914,-9.999960912647156,-1.6418253600950482e-05,0.4354969780204705,5.0649150111055946e-05,0.0008801404987114988,0.006196904030806352,0.0004889387668629378,9.807948693111048e-06,-0.0008651250623355823,0.0008293230437009051,-0.001153780189681703,0.0011599751169811157,-6.599541522982059e-07,-6.599541522982059e-07
0.48,2.2499996213265354,-9.999961326684495,-1.6798985205194855e-05,0.4589290361852269,5.985330192629085e-05,0.0009583529506177186,0.009418749727878137,0.0005704643575003254,1.1168341919916988e-05,-0.0008381366380157933,0.0008012912306744304,-0.0011550976466748427,0.0011615546012211271,-8.231562603032617e-07,-8.231562603032617e-07
0.49,2.254718751355503,-9.999961702965049,-1.715682891943873e-05,0.482668451206615,7.004733847752886e-05,0.0010758585030465368,0.013756380926060616,0.0007169805228662771,1.242379322274676e-05,-0.0008117489322693425,0.0007739583676190409,-0.0011562336664012415,0.001163036601559231,-1.0140519213958254e-06,-1.0140519213958254e-06
0.5,2.259676953500496,-9.999962026200585,-1.7494885575012002e-05,0.5067362687708127,8.167708863868081e-05,0.0012428835758316935,0.01946103144343716,0.0008113628707507878,1.3571351547481322e-05,-0.0007842085106412023,0.0007454621941180549,-0.0011564561797366658,0.001163683422273833,-1.2417299979092121e-06,-1.2417299979092121e-06
0.51,2.2648787990506034,-9.999962282301901,-1.7820077143459408e-05,0.5313349710697816,9.530378883463423e-05,0.001468894152275366,0.025005512960287322,0.000840176380508431,1.4612030342961433e-05,-0.000749898371541667,0.0007098460022276445,-0.0011506455585860503,0.0011583777671897969,-1.519147909230925e-06,-1.519147909230925e-06
0.52,2.270328352791318,-9.999962466252084,-1.813673739927213e-05,0.556230877444585,0.00011150381744474031,0.0017529824890736906,0.03119667274932133,0.000718857193504597,1.553566048954155e-05,-0.0007221806303938392,0.000680907520655777,-0.0011475580802376977,0.0011558166911127047,-1.8603776696499883e-06,-1.8603776696499883e-06
0.53,2.276028198256106,-9.999962584751229,-1.8449961695796568e-05,0.5813697104287429,0.00013089426753699906,0.0021017220689204,0.03807790334084401,0.0006575430835978912,1.632409247928726e-05,-0.000699271346003927,0.00065677836186077,-0.0011463776002392004,0.0011551679397477214,-2.2821722223954697e-06,-2.2821722223954697e-06
0.54,2.281980689485609,-9.999962642131882,-1.87689494710397e-05,0.6067393370753121,0.000154169671997591,0.0025235434031819493,0.04556047746419405,0.0007058742524411823,1.696177238138568e-05,-0.0006792053673137722,0.000635395328890796,-0.0011461210992330473,0.001155424685885451,-2.804798282446729e-06,-2.804798282446729e-06
0.55,2.288188090957226,-9.999962632904204,-1.9105610074474545e-05,0.63233221213877,0.00018207017869881776,0.0030185813183461903,0.05259891324666623,0.0007763848099599508,1.744844465405001e-05,-0.0006610557913582563,0.0006157200879733581,-0.0011464205752446488,0.0011561968740887297,-3.451839269932595e-06,-3.451839269932595e-06
0.56,2.2946525999304157,-9.999962547466703,-1.9469011488456626e-05,0.6581417614347859,0.00021528796127804326,0.003578908413946342,0.05870923609895944,0.0007738169796904148,1.7797816078069e-05,-0.0006444292519896867,0.0005972383723436545,-0.0011471494802323733,0.0011573491120079461,-4.248555104173192e-06,-4.248555104173192e-06
0.5700000000000001,2.3013763483327896,-9.999962381484872,-1.9861871584747868e-05,0.6841611060365712,0.00025442983915088097,0.00419680364617666,0.0642851830542868,0.000676463123661344,1.802399932672568e-05,-0.0006292117691086724,0.0005797409071412091,-0.001148257432105898,0.0011588324076005263,-5.220805426399951e-06,-5.220805426399951e-06
0.58,2.308361396365899,-9.999962139824252,-2.0281358731673823e-05,0.7103826475932226,0.00030005856895303596,0.0048710530965291095,0.07007324802447104,0.000530979369447147,1.813249649589178e-05,-0.0006154135233135573,0.0005631830040007164,-0.0011497105726322968,0.0011606178119146324,-6.395493172340969e-06,-6.395493172340969e-06
0.59,2.315609725277412,-9.99996183351976,-2.0722307423309193e-05,0.7367982192080207,0.00035275588224116793,0.005604447162181717,0.07589127763648039,0.0003989114360067356,1.812147094114907e-05,-0.0006030707769056652,0.0005475685045831499,-0.0011514740920741248,0.001162672655402742,-7.801854805103109e-06,-7.801854805103109e-06
