time,ang,vel,acc,x,y,yaw,carv,alHori,roll
0.45,0,1.37E-06,-0.003881804,2.284807213,-9.99996628,-1.68E-05,0.624376252,0.000905663,1.40E-05
0.46,0,-4.00E-05,-0.004329955,2.291212133,-9.999966554,-1.73E-05,0.653913626,0.000956365,1.54E-05
0.47,0,-8.69E-05,-0.004952886,2.297915471,-9.999966744,-1.79E-05,0.684020408,0.000947194,1.65E-05
0.48,0,-0.000140461,-0.005598038,2.304922912,-9.999966846,-1.85E-05,0.714694258,0.000884076,1.76E-05
0.49,0,-0.000198833,-0.005936704,2.312240116,-9.999966861,-1.91E-05,0.745931926,0.000803056,1.85E-05
0.5,0,-0.000257599,-0.005767605,2.319872706,-9.999966794,-1.97E-05,0.777729525,0.00074016,1.92E-05
0.51,0,-0.000312106,-0.005201657,2.32782627,-9.999966648,-2.04E-05,0.810082926,0.000702832,1.98E-05
0.52,0,-0.000359694,-0.004451288,2.336106352,-9.999966424,-2.11E-05,0.842987956,0.000679343,2.01E-05
0.53,0,-0.000399525,-0.003673609,2.344718457,-9.999966124,-2.18E-05,0.876440436,0.000652343,2.04E-05
0.54,0,-0.000431633,-0.002900282,2.353668048,-9.999965747,-2.26E-05,0.91043615,0.000611995,2.05E-05
0.55,0,-0.000456137,-0.002157202,2.362960543,-9.999965294,-2.33E-05,0.944970763,0.000553306,2.04E-05
0.56,0,-0.000473442,-0.00144774,2.372601318,-9.999964769,-2.42E-05,0.980039792,0.000480153,2.03E-05
0.57,0,-0.000476641,0.001532313,2.382595702,-9.999964177,-2.50E-05,1.015638617,0.000401718,2.00E-05
0.58,0,-0.000440729,0.004027036,2.392948976,-9.999963523,-2.59E-05,1.051762549,0.000328008,1.97E-05
0.59,0,-0.000389206,0.005711714,2.40366637,-9.999962814,-2.68E-05,1.0884067,0.00025887,1.92E-05
0.6,0,-0.000326916,0.006589111,2.414753068,-9.999962055,-2.78E-05,1.125566192,0.000190766,1.87E-05
0.61,0,-0.00025676,0.007335309,2.426214202,-9.99996125,-2.88E-05,1.163236179,0.000122496,1.82E-05
0.62,0,-0.000176378,0.008624095,2.438054852,-9.999960407,-2.98E-05,1.201411827,5.65E-05,1.76E-05
0.63,0,-7.99E-05,0.01033317,2.450280053,-9.999959531,-3.09E-05,1.240088153,-6.57E-06,1.69E-05
0.64,0,3.36E-05,0.012014932,2.462894786,-9.999958628,-3.19E-05,1.279260152,-6.64E-05,1.63E-05
0.65,0,0.000158862,0.012035026,2.475903982,-9.999957703,-3.30E-05,1.318922849,-0.000105299,1.56E-05
0.66,0,0.000261713,0.010014956,2.48931252,-9.999956761,-3.41E-05,1.359071294,-0.000122351,1.49E-05
0.67,0,0.000394957,0.02354563,2.503125232,-9.999955803,-3.53E-05,1.399700481,-0.000147935,1.43E-05
0.68,0,0.000884453,0.056337471,2.517346897,-9.999954832,-3.64E-05,1.440805371,-0.000180179,1.37E-05
0.69,0,0.001518206,0.070043518,2.531982243,-9.999953851,-3.76E-05,1.482380987,-0.000210489,1.31E-05
0.7,0,0.002270024,0.078982082,2.54703595,-9.999952864,-3.88E-05,1.524422372,-0.000234775,1.26E-05
0.71,0,0.003094639,0.084246426,2.562512647,-9.999951873,-4.00E-05,1.566924571,-0.000251722,1.21E-05
0.72,0,0.003959594,0.08685551,2.578416913,-9.99995088,-4.12E-05,1.609882626,-0.00026212,1.17E-05
0.73,0,0.004819839,0.085762761,2.594753278,-9.999949887,-4.24E-05,1.653291579,-0.000268169,1.14E-05
0.74,0,0.005699727,0.091308968,2.611526223,-9.999948895,-4.36E-05,1.697146478,-0.000272126,1.10E-05
0.75,0,0.006692861,0.105043946,2.628740178,-9.999947904,-4.49E-05,1.741442383,-0.000274108,1.08E-05
0.76,0,0.007820616,0.117135661,2.646399525,-9.999946915,-4.61E-05,1.786174365,-0.000272563,1.06E-05
0.77,0,0.009087685,0.140287015,2.664508595,-9.999945928,-4.74E-05,1.83133751,-0.000285977,1.05E-05
0.78,0,0.010687013,0.162985386,2.683071673,-9.999944945,-4.87E-05,1.876926905,-0.000303691,1.04E-05
0.79,0,0.012231437,0.146986637,2.702092992,-9.999943969,-5.01E-05,1.922937649,-0.000302107,1.03E-05
0.8,0,0.013549004,0.121592784,2.721576737,-9.999942999,-5.14E-05,1.969364842,-0.000287385,1.03E-05
0.81,0,0.014620984,0.099429624,2.741527045,-9.999942034,-5.28E-05,2.016203586,-0.000268676,1.04E-05
0.82,0,0.015554336,0.087243338,2.761948004,-9.999941074,-5.42E-05,2.06344899,-0.000252927,1.05E-05
0.83,0,0.016296966,0.067031983,2.782843651,-9.999940117,-5.56E-05,2.111096162,-0.000243278,1.06E-05
0.84,0,0.016886587,0.054779729,2.804217977,-9.999939162,-5.70E-05,2.159140213,-0.000241253,1.07E-05
0.85,0,0.01739972,0.049699898,2.826074923,-9.99993821,-5.84E-05,2.207576256,-0.000245419,1.09E-05
0.86,0,0.017887509,0.048457931,2.848418381,-9.999937261,-5.99E-05,2.256399405,-0.000252832,1.11E-05
0.87,0,0.01836967,0.048004021,2.871252194,-9.999936317,-6.14E-05,2.305604774,-0.000260461,1.13E-05
0.88,0,0.018842831,0.046660642,2.894580158,-9.999935378,-6.29E-05,2.355187476,-0.000266385,1.15E-05
0.89,0,0.019293659,0.043852737,2.918406017,-9.999934447,-6.45E-05,2.405142632,-0.000270131,1.17E-05
0.9,0,0.019705927,0.038287043,2.942733469,-9.999933522,-6.61E-05,2.455465358,-0.000272313,1.19E-05
0.91,0,0.020015687,0.028516489,2.967566162,-9.999932606,-6.77E-05,2.506150775,-0.000274424,1.20E-05
0.92,0,0.020234527,0.012930066,2.992907697,-9.999931699,-6.93E-05,2.557194007,-0.00027832,1.22E-05
0.93,0,0.020249554,-0.003456145,3.018761623,-9.999930802,-7.10E-05,2.608590176,-0.000286015,1.23E-05
0.94,0,0.02020178,-0.003807755,3.045131442,-9.999929916,-7.27E-05,2.660334409,-0.000299127,1.25E-05
0.95,0,0.020208005,0.004092573,3.07202061,-9.999929042,-7.44E-05,2.712421834,-0.000316393,1.26E-05
0.96,0,0.020303655,0.013051371,3.099432529,-9.999928184,-7.62E-05,2.764847582,-0.000335624,1.27E-05
0.97,0,0.020477938,0.020014072,3.127370556,-9.999927342,-7.80E-05,2.817606787,-0.000355155,1.27E-05
0.98,0,0.020706583,0.024470306,3.155837999,-9.999926521,-7.99E-05,2.870694589,-0.000374306,1.28E-05
0.99,0,0.020973656,0.028447793,3.184838117,-9.999925722,-8.17E-05,2.924106139,-0.000392939,1.28E-05
