#{"t_start": 1697702529.5691962, "env_id": null}
r,l,t
-1815110.6,1616,18515.963109
-2732623.0,2019,18606.692708
-5435700.0,3598,18753.777249
-2241236.5,1944,18841.73777
-4000044.8,3588,18990.71647
-1067024.2,1079,19049.705679
-3348821.8,3594,19197.205824
-3526444.0,3588,19345.277425
-3725411.8,3588,19492.341954
-4657733.5,3595,19639.685714
-3206773.8,3590,19786.661493
-3301262.0,2496,19894.4223
-1951386.0,1506,19966.952411
-2753107.2,2382,20071.610732
-4395045.5,3593,20218.64694
-3691609.0,3589,20365.502993
-2909715.5,2053,20457.487358
-3862520.0,3591,20604.217799
-1844246.6,1452,20674.979672
-4357180.5,3599,20822.13453
-4950971.5,3593,20969.546286
-1924416.8,1157,21029.888445
-4862162.5,3593,21176.763551
-3980767.5,3589,21323.597612
-4509674.5,3593,21470.451615
-4266437.0,3599,21617.443581
-3239823.8,3594,21764.368867
-3667474.0,3587,21911.057204
-3540774.8,3591,22057.718894
-3979453.0,3590,22204.111929
-4335635.0,3589,22350.95414
-4704320.0,3592,22497.624242
-5592509.5,3595,22644.403182
-4469170.5,3594,22791.333917
-4502488.0,3589,22938.109747
-3757205.8,3589,23084.793385
-4827337.0,3589,23231.262287
-4049684.0,3591,23377.876885
-4579957.5,3593,23524.848406
-4091595.5,3592,23671.419892
-3591017.0,3589,23818.124097
-3541390.8,3587,23964.850684
-5053217.0,3594,24111.710922
-3674964.8,3590,24258.611531
-5192386.0,3593,24405.15716
-3759465.0,3591,24551.950471
-4087255.8,3589,24698.309231
-4206792.0,3591,24845.150403
-1924808.1,1594,24920.823103
-3713994.5,3592,25067.666409
-2974405.8,3588,25214.083149
-4744322.5,3592,25360.878634
-3374848.2,3587,25507.518095
-2410275.8,2028,25598.524182
-3568288.0,3591,25745.216737
-4905369.5,3600,25892.343973
-1840389.5,1508,25965.044657
-3688194.0,3595,26111.826187
-4888348.5,3597,26258.953913
-3173396.0,3600,26405.898547
-3470485.8,3591,26552.528858
-6133718.5,3592,26699.170388
-4057830.8,3600,26846.167156
-3480135.2,3589,26992.650461
-3314573.5,3593,27141.593309
-841944.1,526,27180.074218
-6564118.5,3599,27328.509256
-3149788.0,2314,27430.262612
-3786814.8,3596,27578.77477
-3234254.5,3592,27727.363585
-1253153.5,1064,27785.363147
-3270005.0,3591,27944.676177
-3110046.0,3593,28090.800281
-3556689.0,3590,28236.969987
-3771619.0,3592,28383.318205
-5417291.5,3596,28529.827348
-3081923.5,2367,28632.388518
-2319672.0,1746,28713.087989
-3847388.5,3597,28859.397904
-4739760.5,3596,29005.621913
-1153287.1,1128,29064.676052
-1317900.8,725,29109.67114
-3587522.2,3003,29234.82456
-2927687.8,2191,29331.331986
-3750479.8,3587,29477.308897
-4256258.0,3592,29623.566983
-3452568.2,3593,29769.854632
-3313132.5,3591,29916.041622
-3751000.0,3588,30062.20666
-3616418.0,3593,30208.726755
-3838880.0,3042,30335.258429
-722546.2,506,30372.563681
-3532917.2,3590,30518.583472
-2380637.8,1982,30607.304497
-6293454.0,3597,30753.585859
-3454850.8,3594,30900.192754
-4638549.0,3594,31051.972598
-3965259.5,3593,31198.403919
-3541655.8,3594,31344.281012
-1832977.2,1405,31413.09211
-1463228.5,1528,31486.15819
-3244136.5,3591,31631.875341
-2372712.8,1860,31717.045601
-1811128.5,1385,31791.178698
-3535513.2,3591,31943.938187
-3466191.2,3589,32095.830497
-4188031.8,3594,32242.074073
-3071008.5,3592,32388.033931
-3752686.2,3591,32533.884465
-2317745.5,1852,32618.307867
-1966093.2,1418,32687.528479
-3555941.2,3589,32833.664436
-4724228.5,3600,32979.962636
-4914032.0,3600,33126.342429
-2627477.8,2180,33222.301766
-2414643.2,1982,33311.219518
-4431477.5,3587,33457.149814
-1239536.6,974,33517.556003
-3318545.0,2351,33619.680428
-3502619.2,3590,33765.835779
-947046.6,1063,33822.626327
-1994992.9,1699,33901.794994
-3348537.2,2543,34010.639074
-3496140.2,3590,34156.558079
-3331714.5,3591,34302.522276
-4394870.5,3594,34448.765429
-3224058.0,2500,34556.011149
-3289596.2,2675,34669.499255
-3456798.2,3589,34815.474825
-3594487.0,3589,34961.278038
-3347963.5,3589,35107.111557
-1161869.0,1081,35164.452139
-3983480.8,3587,35310.492085
-3664638.0,3590,35456.334581
-3062432.5,3588,35601.967013
-1034997.8,1060,35658.480839
-1648383.9,1503,35756.823804
-3424328.2,3588,35902.43222
-2542833.8,2251,36000.699158
-801352.8,773,36047.158817
-3561388.8,2388,36150.239533
-1214690.5,1032,36205.696439
-3946707.8,3590,36351.340945
-4459264.0,3594,36497.59593
-4472653.0,3589,36643.33105
-691897.06,702,36687.272677
-3192424.8,2326,36788.229604
-3511021.0,3592,36934.194556
-4141971.8,3593,37080.383775
-1763378.5,1428,37150.158683
-680404.1,721,37195.029973
-985756.4,1083,37252.429593
-2989157.8,2375,37355.872849
-3578022.8,3589,37501.85292
-3426002.5,3586,37647.387266
-3811963.0,3590,37793.050502
-3759809.0,3588,37938.862743
-980051.75,547,37977.642988
-2991719.8,3590,38123.675462
-3055974.0,3588,38269.587763
-3159095.8,3589,38415.576543
-2970182.8,2293,38515.544937
-3525037.8,3589,38661.412965
-4280771.0,3164,38792.352848
-2073700.6,1478,38863.567396
-4858981.0,3412,39003.147942
-6313177.5,3598,39149.426654
-3484601.0,2679,39263.043521
-3425178.8,3594,39408.979479
-3923145.8,3591,39555.021202
-5284432.0,3589,39701.113982
-3243482.8,3591,39847.083816
-730963.3,722,39891.912358
