`,traj_tx,traj_ty,traj_tz
0,679.4528855,-22.75,0
1,679.6173427,-22.75,0
2,679.7818207,-22.75,0
3,679.9463195,-22.75,0
4,680.1108391,-22.75,0
5,680.2753796,-22.75,0
6,680.4399409,-22.75,0
7,680.6045231,-22.75,0
8,680.7691262,-22.75,0
9,680.9337501,-22.75,0
10,681.0983949,-22.75,0
11,681.2630606,-22.75,0
12,681.4277472,-22.75,0
13,681.5924546,-22.75,0
14,681.7571829,-22.75,0
15,681.921932,-22.75,0
16,682.086702,-22.75,0
17,682.2514929,-22.75,0
18,682.4163046,-22.75,0
19,682.5811372,-22.75,0
20,682.7459906,-22.75,0
21,682.9108648,-22.75,0
22,683.0757598,-22.75,0
23,683.2406757,-22.75,0
24,683.4056124,-22.75,0
25,683.57057,-22.75,0
26,683.7355483,-22.75,0
27,683.9005474,-22.75,0
28,684.0655673,-22.75,0
29,684.2306081,-22.75,0
30,684.3956696,-22.75,0
31,684.5607518,-22.75,0
32,684.7258549,-22.75,0
33,684.8909787,-22.75,0
34,685.0561232,-22.75,0
35,685.2212885,-22.75,0
36,685.3864746,-22.75,0
37,685.5516814,-22.75,0
38,685.716909,-22.75,0
39,685.8821572,-22.75,0
40,686.0474262,-22.75,0
41,686.2127159,-22.75,0
42,686.3780262,-22.75,0
43,686.5433573,-22.75,0
44,686.708709,-22.75,0
45,686.8740814,-22.75,0
46,687.0394745,-22.75,0
47,687.2048882,-22.75,0
48,687.3703225,-22.75,0
49,687.5357774,-22.75,0
50,687.701253,-22.75,0
51,687.8667492,-22.75,0
52,688.0322659,-22.75,0
53,688.1978033,-22.75,0
54,688.3633611,-22.75,0
55,688.5289396,-22.75,0
56,688.6945385,-22.75,0
57,688.860158,-22.75,0
58,689.0257979,-22.75,0
59,689.1914583,-22.75,0
60,689.3571392,-22.75,0
61,689.5228405,-22.75,0
62,689.6885622,-22.75,0
63,689.8543044,-22.75,0
64,690.0200669,-22.75,0
65,690.1858497,-22.75,0
66,690.3516529,-22.75,0
67,690.5174764,-22.75,0
68,690.6833202,-22.75,0
69,690.8491842,-22.75,0
70,691.0150685,-22.75,0
71,691.180973,-22.75,0
72,691.3468976,-22.75,0
73,691.5128425,-22.75,0
74,691.6788074,-22.75,0
75,691.8447924,-22.75,0
76,692.0107976,-22.75,0
77,692.1768227,-22.75,0
78,692.3428678,-22.75,0
79,692.5089329,-22.75,0
80,692.675018,-22.75,0
81,692.8411229,-22.75,0
82,693.0072477,-22.75,0
83,693.1733923,-22.75,0
84,693.3395566,-22.75,0
85,693.5057408,-22.75,0
86,693.6719446,-22.75,0
87,693.8381681,-22.75,0
88,694.0044112,-22.75,0
89,694.1706738,-22.75,0
90,694.3369561,-22.75,0
91,694.5032578,-22.75,0
92,694.6695789,-22.75,0
93,694.8359194,-22.75,0
94,695.0022793,-22.75,0
95,695.1686585,-22.75,0
96,695.335057,-22.75,0
97,695.5014747,-22.75,0
98,695.6679115,-22.75,0
99,695.8343675,-22.75,0
100,696.0008425,-22.75,0
101,696.1673365,-22.75,0
102,696.3338495,-22.75,0
103,696.5003814,-22.75,0
104,696.6669322,-22.75,0
105,696.8335019,-22.75,0
106,697.0000903,-22.75,0
107,697.1666974,-22.75,0
108,697.3333232,-22.75,0
109,697.4999676,-22.75,0
110,697.6666306,-22.75,0
111,697.8333121,-22.75,0
112,698.0000121,-22.75,0
113,698.1667305,-22.75,0
114,698.3334672,-22.75,0
115,698.5029173,-22.75,0
116,698.6745236,-22.75,0
117,698.8461216,-22.75,0
118,699.0177109,-22.75,0
119,699.1892912,-22.75,0
120,699.3608621,-22.75,0
121,699.5324231,-22.75,0
122,699.703974,-22.75,0
123,699.8755143,-22.75,0
124,700.0457294,-22.75000543,-1.17E-07
125,700.2124737,-22.75011695,-2.52E-06
126,700.3792353,-22.75037168,-8.02E-06
127,700.5460139,-22.75076864,-1.66E-05
128,700.7128092,-22.75130684,-2.83E-05
129,700.8796211,-22.75198531,-4.31E-05
130,701.0464492,-22.75280304,-6.10E-05
131,701.2132933,-22.75375906,-8.20E-05
132,701.3801531,-22.75485238,-0.000106048
133,701.5470285,-22.75608201,-0.0001332
134,701.7139193,-22.75744695,-0.000163436
135,701.8808252,-22.75894622,-0.000196753
136,702.0477461,-22.76057882,-0.00023315
