#{"t_start": 1697117326.695499, "env_id": null}
r,l,t
-8259642.5,1208,3296.972776
-6527508.5,1209,3334.148045
-6840725.5,1209,3356.128519
-5090923.5,1210,3393.518813
-5626603.0,1209,3415.384227
-5573407.0,1211,3452.705179
-5024196.5,1211,3474.62406
-7246908.5,1211,3511.999709
-5266199.0,1211,3533.951623
-4153941.8,1212,3571.523716
-5254543.0,1214,3593.539767
-4695023.0,1210,3630.891672
-4559412.0,1212,3652.93426
-8577240.0,1212,3690.389363
-4799771.0,1213,3712.491524
-4795934.5,1213,3749.723622
-4486781.5,1214,3771.856216
-4597433.0,1216,3809.614531
-4888083.0,1212,3831.687004
-5383793.0,1214,3869.21023
-5174198.5,1212,3891.301798
-3092953.0,1214,3928.686751
-5077917.0,1214,3950.610859
-3389194.5,1212,3988.270021
-2813233.2,1216,4010.315235
-3078187.2,1213,4047.700861
-4124832.5,1218,4069.9885
-3050341.5,1215,4107.673999
-2991465.8,1216,4130.051297
-2808160.2,1215,4167.449047
-3111921.8,1219,4189.966106
-5159581.0,1221,4227.381271
-4247972.5,1217,4249.701908
-4397600.0,878,4275.106956
-3554090.8,1215,4309.556238
-3006098.2,1219,4334.868259
-4534408.0,1216,4369.220805
-5101346.0,1221,4394.818305
-3044673.8,1213,4429.03853
-3091310.8,1216,4454.85045
-4308974.5,1217,4489.275339
-4969911.0,1217,4514.870824
-2794282.8,1217,4549.257133
-2884560.2,1218,4574.815661
-5219769.5,1215,4609.030419
-3405719.2,1217,4634.884139
-3570201.5,1217,4669.347768
-7157890.5,1219,4695.162072
-3148523.0,1217,4729.582389
-3248692.8,1218,4755.518501
-3476401.8,1218,4789.950891
-3348418.2,1218,4815.860856
-3635566.5,1217,4850.026661
-2858165.8,1216,4876.108025
-4338853.0,1217,4910.602307
-3272756.5,1219,4936.639319
-4266857.5,880,4958.479557
-3923523.5,1223,4997.242903
-3379520.0,1218,5019.339554
-3960411.5,1217,5057.629877
-5025768.5,1218,5079.36343
-4612156.0,931,5107.276683
-4246162.0,882,5127.226619
-4454454.5,1220,5167.600341
-6259148.0,1220,5187.605892
-3870746.5,872,5227.263113
-3652212.2,1222,5236.030255
-4478954.5,881,5275.964228
-2752781.8,1217,5297.015229
-3832366.2,837,5322.471412
-5197061.5,1227,5358.002742
-3269602.5,1216,5383.216666
-5140218.0,1218,5418.499815
-4479132.5,886,5431.521676
-5368041.5,888,5467.033461
-3924286.5,872,5479.452592
-3878799.0,862,5519.059297
-3313528.0,1220,5535.843449
-4538193.5,884,5567.581117
-4786238.0,893,5584.723349
-4041469.0,894,5616.609077
-4312464.5,894,5633.702029
-4628205.0,887,5674.390243
-3455458.0,1218,5685.585159
-4497812.0,883,5722.906782
-3451119.0,1220,5746.676257
-4753185.5,883,5771.951672
-5626627.5,1223,5808.139424
-3586853.8,1215,5833.001936
-6439195.0,1220,5869.868188
-3466431.0,1218,5894.570753
-3408440.2,1218,5930.850007
-4713937.0,915,5944.316502
-4716631.0,892,5979.72654
-3498393.2,1216,6005.44857
-4112046.2,887,6028.875756
-3208828.2,1216,6066.907162
-2966307.2,1218,6090.339155
-4723672.0,932,6117.34747
-3275177.2,1219,6151.632235
-4076348.0,1217,6178.724358
-4755774.0,934,6202.286773
-3255183.8,1218,6240.140375
-4566747.5,924,6252.830454
-4272485.5,883,6294.052908
-6462762.0,1110,6305.694401
-4948183.5,890,6346.821271
-3375495.8,1217,6363.363341
-4124433.5,1220,6408.194307
-3390801.8,1221,6424.937505
-3320572.0,1219,6469.732367
-3150931.0,1216,6486.098581
-3188688.0,1217,6531.158892
-2923531.5,1220,6547.635784
-4703473.0,890,6580.676775
-3898715.5,770,6592.557003
-4159488.0,890,6629.749251
-4400636.5,929,6643.255975
-3790591.0,865,6678.020671
-3083112.8,1216,6704.60899
-5901051.5,1073,6733.931962
-4126223.0,896,6753.644021
-3398629.8,1218,6795.126048
-5106409.0,1219,6815.229589
-4385979.0,904,6845.00127
-4351104.0,899,6864.652288
-5734661.5,1039,6899.559358
-5171759.0,1006,6918.207355
-4185028.0,896,6949.00983
-4172860.2,897,6967.598285
-4215623.5,903,6998.825077
-4199589.5,893,7017.210186
-2974333.5,1219,7060.224227
-3683420.0,1217,7078.485968
-2931244.5,1219,7121.868676
-2941483.5,1220,7140.165129
-4375330.0,923,7172.120094
-4308538.5,900,7189.519301
-2840910.8,1223,7233.847344
-6192579.0,1091,7246.311849
-4566712.0,947,7289.594148
-5922419.5,1092,7298.819923
-3980399.5,904,7339.760632
-4411329.0,1225,7360.758595
-5563691.0,1223,7401.367461
-6955907.0,1224,7422.464023
-3872595.8,898,7451.044161
-3819074.0,880,7471.402843
-3831326.2,906,7501.03336
-5291324.0,1028,7526.162093
-5725074.0,1102,7558.604496
-4537228.0,954,7577.905746
-3578703.8,1224,7620.103549
-5945888.0,1116,7635.43907
-4499467.5,935,7670.996255
-2668682.0,1220,7696.996004
-5125935.5,1003,7724.61638
-4589658.0,971,7749.115273
-7098846.5,1228,7786.494182
-4283020.0,898,7798.892175
-4408708.0,948,7842.598231
-6238138.5,1111,7852.205919
-4542705.5,966,7896.237082
-4851471.5,1225,7912.317174
-5546573.0,1046,7951.408051
-4635576.0,954,7964.029053
-5586119.0,1063,8007.2777
-5162158.5,1224,8025.933089
-3895648.0,886,8056.198476
-3929742.5,874,8074.138284
-3876067.5,892,8105.367079
-4871987.5,990,8127.135005
-3942605.8,902,8154.92646
-3721894.2,872,8175.553714
-6287316.5,1228,8217.167628
-4552905.0,954,8227.605466
-5628011.0,1225,8279.384909
-4934170.5,1227,8289.934462
-4036064.8,893,8328.887306
-4157832.0,891,8339.233325
-4291173.0,931,8379.684502
-3981679.5,890,8388.559051
-3876350.8,855,8427.755874
-2588870.5,1224,8450.244065
-3676946.8,854,8475.734014
-3582242.5,839,8497.968524
-3293217.0,1220,8537.691403
-7118820.5,1227,8559.91036
-6423367.0,1229,8599.687386
-3910568.0,879,8608.975908
-4298604.5,912,8649.925417
-4010597.2,884,8658.265331
-5503506.5,1047,8705.460614
-6137968.0,1100,8715.080224
